Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,BF,1B%,x1B%,2B%,x2B%,3B%,x3B%,HR%,xHR%,XBH%,xXBH%
,1476823348,J. Hajdu,Jake Hajdu,Hajdu,Jake,SS,Elon University,ELON,730252544,Elon,BBC,R,R,0,0,-,-,-,-,-,-,-,-,-,-
,1896537632,B. Harrison,Bear Harrison,Harrison,Bear,C,Texas A&M University,TXAM,3032,Texas A&M,BBC,R,R,0,0,-,-,-,-,-,-,-,-,-,-
,1957336497,A. Welshans,Alec Welshans,Welshans,Alec,RF,Elon University,ELON,730252544,Elon,BBC,R,R,0,0,-,-,-,-,-,-,-,-,-,-
,1084799195,C. Chamberlain,Cole Chamberlain,Chamberlain,Cole,C,University of Texas,TEX,245,Texas,BBC,L,R,0,0,-,-,-,-,-,-,-,-,-,-
,1078749113,J. Bush,JJ Bush,Bush,JJ,P,Texas A&M-Corpus Christi,AMCC,4764,Texas A&M-Corpus Christi,BBC,L,R,0,0,-,-,-,-,-,-,-,-,-,-
,1778267483,C. Pantuso,Chad Pantuso,Pantuso,Chad,LF,Texas A&M-Corpus Christi,AMCC,4764,Texas A&M-Corpus Christi,BBC,R,R,0,0,-,-,-,-,-,-,-,-,-,-
,1006708473,E. Joubert,Evan Joubert,Joubert,Evan,LF,Texas Southern University,TXSO,4768,Texas Southern,BBC,R,R,0,0,-,-,-,-,-,-,-,-,-,-
,1342170678,C. Lockette,Corie Lockette,Lockette,Corie,1B,Prairie View A&M University,PV,4766,Prairie View A&M,BBC,L,R,0,0,-,-,-,-,-,-,-,-,-,-
,1217002518,T. Lewis,Tate Lewis,Lewis,Tate,1B,Southern Illinois University,SIU,730349824,Southern Illinois,BBC,R,R,0,0,-,-,-,-,-,-,-,-,-,-
,1238879568,M. Behrens,Milo Behrens,Behrens,Milo,C,University of Texas Rio Grande Valley,UTRGV,730192128,UT Rio Grande Valley,BBC,R,R,0,0,-,-,-,-,-,-,-,-,-,-
,1537408638,C. Roa,Christopher Roa,Roa,Christopher,3B,Miami University (Ohio),M-OH,730379264,Miami (OH),BBC,S,R,0,0,-,-,-,-,-,-,-,-,-,-
,1342169030,N. Cadiz,Noah Cadiz,Cadiz,Noah,C,The Citadel,CIT,730366720,The Citadel,BBC,R,R,0,0,-,-,-,-,-,-,-,-,-,-
,1430036923,C. Raether,Carson Raether,Raether,Carson,C,Miami University (Ohio),M-OH,730379264,Miami (OH),BBC,L,R,0,0,-,-,-,-,-,-,-,-,-,-
,1485188427,R. Poppell,Rhyder Poppell,Poppell,Rhyder,RF,The Citadel,CIT,730366720,The Citadel,BBC,S,R,0,0,-,-,-,-,-,-,-,-,-,-
,1501614129,D. Phillips,Drew Phillips,Phillips,Drew,RF,Miami University (Ohio),M-OH,730379264,Miami (OH),BBC,R,R,0,0,-,-,-,-,-,-,-,-,-,-
,1582219985,C. Canty,Cole Canty,Canty,Cole,LF,The Citadel,CIT,730366720,The Citadel,BBC,R,R,0,0,-,-,-,-,-,-,-,-,-,-
,1751431923,J. Vrlak,Jake Vrlak,Vrlak,Jake,RF,Miami University (Ohio),M-OH,730379264,Miami (OH),BBC,R,R,0,0,-,-,-,-,-,-,-,-,-,-
,1190604296,J. Wachs,Jason Wachs,Wachs,Jason,RF,Tulane University,TULN,730354176,Tulane,BBC,L,R,0,0,-,-,-,-,-,-,-,-,-,-
,1342169066,B. Landry,Boots Landry,Landry,Boots,1B,Tulane University,TULN,730354176,Tulane,BBC,L,R,0,0,-,-,-,-,-,-,-,-,-,-
,1342169076,W. Good,William Good,Good,William,C,Tulane University,TULN,730354176,Tulane,BBC,R,R,0,0,-,-,-,-,-,-,-,-,-,-
