Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,PA,P,4Seam%,Sink2Seam%,Cutter%,Slider%,Curve%,Change%,Split%,Sweeper%,Unknown%,FastSink%,Soft%,Break%
961,1282371943,J. Katsaboulas,Jonah Katsaboulas,Katsaboulas,Jonah,3B,University of Tennessee at Martin,UTM,730238976,UT Martin,BBC,R,R,53,227,736,49.1%,3.2%,4.9%,28.1%,6.7%,7.7%,0.2%,0.0%,45.0%,52.3%,42.7%,34.8%
962,1245115136,D. Johnson,Dylan Johnson,Johnson,Dylan,C,College of Charleston,COFC,730177792,College of Charleston,BBC,R,R,59,257,987,49.1%,2.7%,4.6%,26.8%,8.0%,8.0%,0.7%,0.0%,7.8%,51.9%,43.5%,34.8%
963,1325105152,J. Simpson,Joe Simpson,Simpson,Joe,LF,Campbell University,CAMP,730187776,Campbell,BBC,R,R,44,175,689,49.1%,6.9%,5.4%,21.6%,5.1%,11.4%,0.0%,0.5%,9.3%,56.0%,38.6%,27.2%
964,1092683264,C. Cole,Chris Cole,Cole,Chris,CF,Kennesaw State University,KENN,730197504,Kennesaw State,BBC,L,R,58,271,1045,49.1%,7.9%,8.3%,14.3%,6.6%,13.4%,0.4%,0.0%,8.9%,57.0%,34.7%,20.9%
965,1304398080,C. Tuupo,Chandler Tuupo,Tuupo,Chandler,1B,Charleston Southern University,CHSO,730194432,Charleston Southern,BBC,L,L,51,255,1002,49.1%,2.9%,3.4%,20.8%,5.4%,18.0%,0.3%,0.0%,1.0%,52.0%,44.6%,26.2%
966,1297350912,K. Bowen,Karson Bowen,Bowen,Karson,C,Texas Christian University,TCU,5045,TCU,BBC,R,R,43,186,776,49.1%,8.2%,5.3%,19.1%,8.3%,8.7%,1.3%,0.0%,0.8%,57.3%,37.4%,27.4%
966,1229486592,C. Vasquez,Carlos Vasquez,Vasquez,Carlos,3B,Western Kentucky University,WKU,730212096,Western Kentucky,BBC,R,R,57,272,958,49.1%,5.7%,4.4%,22.0%,9.3%,9.2%,0.3%,0.0%,2.4%,54.8%,40.9%,31.3%
968,1234004480,T. Bishop,Tyler Bishop,Bishop,Tyler,1B,University of Nebraska-Omaha,NEOM,730235648,Omaha,BBC,R,R,50,229,849,49.1%,4.7%,2.6%,30.7%,4.4%,7.7%,0.1%,0.7%,19.1%,53.7%,43.7%,35.8%
969,1429508311,T. Castrataro,Tyler Castrataro,Castrataro,Tyler,LF,Hofstra University,HOF,730245120,Hofstra,BBC,R,R,45,190,705,49.0%,1.7%,7.8%,27.4%,3.5%,10.1%,0.5%,0.0%,18.2%,50.8%,41.4%,30.8%
970,1131893504,C. Kenny,Craig Kenny,Kenny,Craig,C,University of Northern Colorado,UNCO,730286592,Northern Colorado,BBC,R,R,47,192,709,49.0%,5.7%,2.9%,28.7%,4.8%,8.9%,0.0%,0.0%,41.0%,54.8%,42.3%,33.5%
971,1143041024,V. Fattore,Vincent Fattore,Fattore,Vincent,RF,Elon University,ELON,730252544,Elon,BBC,R,R,51,196,728,49.0%,7.8%,3.6%,25.8%,4.3%,9.2%,0.3%,0.0%,0.0%,56.9%,39.6%,30.1%
972,1300201985,M. Holton,Mason Holton,Holton,Mason,TWP,Western Carolina University,WCU,730278144,Western Carolina,BBC,R,R,56,267,1032,49.0%,5.0%,4.6%,26.4%,3.9%,9.3%,0.4%,1.4%,4.7%,54.0%,41.4%,31.7%
973,1245115904,J. Crespo,Javier Crespo,Crespo,Javier,3B,Florida International University,FIU,4468,Florida International,BBC,R,R,48,186,718,49.0%,10.2%,5.6%,20.3%,5.5%,9.3%,0.2%,0.0%,8.2%,59.2%,35.2%,25.8%
974,1263748608,J. Mack,Jalon Mack,Mack,Jalon,2B,Southern University,SOU,4767,Southern,BBC,S,R,42,187,699,49.0%,7.6%,1.2%,14.3%,6.0%,21.9%,0.0%,0.0%,64.1%,56.6%,42.2%,20.3%
975,1097665280,V. Izquierdo,Victor Izquierdo,Izquierdo,Victor,1B,U.S. Naval Academy,NAVY,508,Navy,BBC,R,R,51,201,702,49.0%,1.5%,1.5%,30.3%,4.3%,13.1%,0.3%,0.0%,7.3%,50.5%,47.9%,34.6%
976,1188416000,S. Smith,Sean Smith,Smith,Sean,LF,Georgia Southern University,GASO,730331648,Georgia Southern,BBC,R,R,47,203,768,49.0%,4.9%,2.5%,23.4%,9.6%,10.1%,0.4%,0.0%,2.2%,53.9%,43.5%,33.0%
977,1587154519,C. Butera,Christian Butera,Butera,Christian,3B,Brown University,BRWN,730236160,Brown,BBC,R,R,36,139,553,49.0%,3.1%,1.8%,29.1%,7.8%,8.4%,0.7%,0.0%,0.7%,52.1%,46.1%,37.0%
978,1314878208,M. Maginnis,Michael Maginnis,Maginnis,Michael,LF,Georgia State University,GAST,730239744,Georgia State,BBC,R,R,54,260,905,49.0%,5.0%,1.9%,26.2%,8.9%,9.0%,0.0%,0.0%,6.9%,54.0%,44.1%,35.1%
979,1085388800,A. Havrilla,AJ Havrilla,Havrilla,AJ,1B,Marshall University,MRSH,730333696,Marshall,BBC,R,R,58,257,1091,49.0%,7.0%,6.3%,24.6%,5.3%,7.4%,0.5%,0.0%,6.4%,55.9%,37.8%,29.9%
980,1334287616,G. Roessler,Gabe Roessler,Roessler,Gabe,SS,University of Wisconsin-Milwaukee,MILW,5036,Milwaukee,BBC,R,R,59,288,1033,49.0%,6.0%,7.1%,21.4%,5.9%,10.1%,0.0%,0.5%,38.9%,55.0%,37.9%,27.7%
981,1159606016,J. Neff,Jason Neff,Neff,Jason,C,Villanova University,VILL,730278400,Villanova,BBC,R,R,49,217,824,49.0%,3.2%,4.0%,27.3%,5.2%,10.8%,0.4%,0.1%,0.1%,52.1%,43.9%,32.7%
982,1383694193,M. Gupton,Michael Gupton,Gupton,Michael,CF,Samford University,SAM,730386432,Samford,BBC,R,R,55,217,785,49.0%,2.5%,1.8%,29.5%,7.9%,9.3%,0.0%,0.0%,8.2%,51.5%,46.7%,37.4%
983,1559287645,P. McLellan,Patrick McLellan,McLellan,Patrick,3B,University of Southern Indiana,SIND,730288640,Southern Indiana,BBC,R,R,43,203,741,49.0%,3.3%,5.2%,25.2%,7.3%,9.2%,0.9%,0.0%,22.3%,52.3%,42.5%,32.5%
984,1403617065,A. Kearns,Aubrey Kearns,Kearns,Aubrey,2B,Morehead State University,MORE,730158080,Morehead State,BBC,L,R,41,175,631,48.9%,12.8%,1.5%,16.0%,6.7%,13.7%,0.4%,0.0%,24.6%,61.8%,36.8%,22.7%
985,1306802432,J. Roder,Joe Roder,Roder,Joe,1B,University of St. Thomas (Minn.),UOST,730200320,University of St. Thomas (Minn.),BBC,L,L,49,212,772,48.9%,13.4%,3.3%,17.9%,5.9%,8.2%,1.4%,0.9%,44.9%,62.4%,34.4%,24.7%
986,1162536192,B. Anderson,Brandon Anderson,Anderson,Brandon,3B,Purdue University,PUR,730353152,Purdue,BBC,L,R,53,250,942,48.9%,6.1%,2.2%,18.8%,7.0%,16.3%,0.1%,0.5%,6.5%,55.1%,42.8%,26.3%
987,1165448448,S. Werchan,Seth Werchan,Werchan,Seth,CF,Virginia Commonwealth University,VCU,730179328,VCU,BBC,L,L,50,207,775,48.9%,9.8%,2.9%,19.1%,7.9%,11.1%,0.3%,0.0%,10.3%,58.7%,38.4%,27.1%
988,1297673729,B. Cermenelli,Bryce Cermenelli,Cermenelli,Bryce,3B,University of Central Arkansas,CARK,730175232,Central Arkansas,BBC,L,R,38,179,606,48.9%,8.1%,1.9%,20.3%,10.3%,10.5%,0.0%,0.0%,38.9%,57.0%,41.1%,30.5%
989,1132702208,B. Smith,Boston Smith,Smith,Boston,C,Wright State University,WRST,5390,Wright State,BBC,L,R,59,282,1119,48.9%,4.9%,5.7%,18.5%,8.5%,12.8%,0.7%,0.0%,21.7%,53.8%,40.5%,27.0%
990,1257423872,P. Goff,Parker Goff,Goff,Parker,C,Brigham Young University,BYU,730257152,BYU,BBC,R,R,45,183,780,48.9%,5.4%,5.5%,24.7%,6.6%,8.1%,0.8%,0.0%,0.4%,54.3%,40.2%,31.3%
991,1310789888,H. Autrey,Hunter Autrey,Autrey,Hunter,LF,Sam Houston State University,SHSU,5363,Sam Houston State,BBC,L,R,55,252,981,48.9%,5.6%,5.8%,12.0%,9.2%,17.4%,1.2%,0.0%,48.9%,54.5%,39.7%,21.2%
992,1310844160,D. Pacheco,D.J. Pacheco,Pacheco,D.J.,LF,University of Richmond,RICH,730171904,Richmond,BBC,R,R,50,212,808,48.9%,6.2%,2.1%,29.2%,5.2%,7.5%,0.4%,0.4%,4.6%,55.1%,42.8%,34.9%
993,1085407744,J. Goodman,Jack Goodman,Goodman,Jack,SS,Northeastern University,NE,343,Northeastern,BBC,R,R,53,234,874,48.9%,2.5%,3.8%,26.3%,7.8%,9.6%,0.3%,0.8%,17.8%,51.4%,44.8%,35.0%
994,1336562432,N. Senese,Nico Senese,Senese,Nico,3B,Georgia Southern University,GASO,730331648,Georgia Southern,BBC,R,R,59,269,998,48.9%,6.6%,4.6%,19.4%,9.8%,10.8%,0.0%,0.0%,1.2%,55.5%,40.0%,29.2%
995,1085400832,M. Whooley,Michael Whooley,Whooley,Michael,3B,Villanova University,VILL,730278400,Villanova,BBC,R,R,50,234,853,48.9%,2.8%,2.8%,30.4%,5.8%,8.8%,0.4%,0.1%,0.2%,51.7%,45.5%,36.3%
996,1123979264,J. Moroknek,Jack Moroknek,Moroknek,Jack,RF,Butler University,BUT,730283520,Butler,BBC,L,R,54,253,934,48.9%,6.3%,1.6%,18.0%,9.4%,15.7%,0.1%,0.0%,19.0%,55.2%,43.2%,27.3%
997,1848836452,N. Grawe,Nolan Grawe,Grawe,Nolan,3B,South Dakota State University,SDST,730323200,South Dakota State,BBC,L,R,51,230,882,48.9%,2.9%,1.0%,20.3%,9.7%,16.3%,0.5%,0.3%,34.6%,51.8%,47.1%,30.3%
998,1248459776,K. Durnin,Kam Durnin,Durnin,Kam,SS,Wichita State University,WICH,730203904,Wichita State,BBC,R,R,56,249,948,48.9%,3.8%,7.0%,28.6%,2.1%,9.4%,0.2%,0.0%,6.5%,52.7%,40.3%,30.7%
999,1191773952,T. Deters,Teddy Deters,Deters,Teddy,RF,Creighton University,CREI,730243840,Creighton,BBC,R,R,56,253,984,48.9%,5.7%,2.5%,27.2%,6.3%,9.2%,0.2%,0.0%,10.4%,54.5%,43.0%,33.6%
1000,1033278870,C. Davis,Charlie Davis,Davis,Charlie,2B,Belmont University,BEL,730190336,Belmont,BBC,L,R,60,282,939,48.9%,9.1%,2.9%,16.1%,7.9%,14.3%,0.5%,0.5%,6.7%,58.0%,39.2%,24.4%
1001,1107073280,B. Jacklin,Blake Jacklin,Jacklin,Blake,RF,East Tennessee State University,ETSU,4844,East Tennessee State,BBC,L,R,48,227,923,48.9%,4.5%,3.5%,19.5%,7.4%,15.4%,0.9%,0.0%,0.7%,53.3%,43.2%,26.9%
1002,1243350016,J. Rickheim,Jack Rickheim,Rickheim,Jack,SS,Harvard University,HARV,5450,Harvard,BBC,R,R,42,184,690,48.8%,5.3%,5.0%,20.1%,7.3%,12.3%,0.8%,0.3%,12.8%,54.2%,40.9%,27.7%
1003,1251692544,B. Evans,Brayden Evans,Evans,Brayden,LF,Lamar University,LAM,730162432,Lamar,BBC,L,L,56,275,1028,48.8%,6.2%,1.4%,20.0%,7.0%,15.5%,0.8%,0.0%,4.8%,55.1%,43.5%,27.2%
1004,1332976128,J. Hopko,Jack Hopko,Hopko,Jack,LF,University of Rhode Island,URI,730163712,Rhode Island,BBC,L,L,59,278,1059,48.8%,4.2%,4.6%,20.1%,4.3%,17.0%,0.9%,0.0%,8.3%,53.0%,42.3%,24.4%
1005,1201654784,H. Padden,Harry Padden,Padden,Harry,CF,Monmouth University,MONM,4164,Monmouth,BBC,R,R,51,237,785,48.8%,4.1%,7.1%,24.5%,6.2%,7.9%,0.0%,1.4%,19.4%,52.9%,40.0%,32.1%
1006,1314632704,M. Cisco,Mason Cisco,Cisco,Mason,1B,Canisius College,CAN,730218752,Canisius,BBC,L,R,41,182,576,48.8%,14.3%,2.4%,25.0%,1.2%,8.3%,0.0%,0.0%,85.4%,63.1%,34.5%,26.2%
1006,1171241377,J. Trivisonno,Joe Trivisonno,Trivisonno,Joe,CF,Mercyhurst College,MCYH,730196224,Mercyhurst,BBC,L,L,46,196,670,48.8%,4.4%,1.6%,23.4%,7.1%,13.1%,1.6%,0.0%,62.4%,53.2%,45.2%,30.6%
1008,1112939209,A. Evasco,A.J. Evasco,Evasco,A.J.,RF,Kansas State University,KSU,730270464,Kansas State,BBC,L,R,56,221,804,48.8%,3.2%,3.9%,22.7%,7.6%,12.8%,0.8%,0.3%,6.5%,52.0%,44.1%,30.6%
1009,1361255396,S. Darnell,Sean Darnell,Darnell,Sean,2B,Troy University,TROY,730378496,Troy,BBC,L,R,60,286,1099,48.8%,6.5%,1.5%,23.0%,6.5%,12.3%,1.4%,0.1%,8.8%,55.3%,43.2%,29.5%
1010,1318612224,E. Brown,Evan Brown,Brown,Evan,3B,U.S. Naval Academy,NAVY,508,Navy,BBC,R,R,51,209,711,48.8%,0.9%,3.0%,32.4%,4.5%,10.4%,0.0%,0.0%,6.6%,49.7%,47.3%,36.9%
1011,1182038272,O. Hull,Owen Hull,Hull,Owen,RF,George Mason University,GMU,730265088,George Mason,BBC,L,R,61,298,1074,48.8%,9.0%,3.5%,24.5%,3.8%,9.1%,0.8%,0.4%,11.7%,57.8%,38.8%,28.8%
1012,1287367168,R. Weingartner,Ryan Weingartner,Weingartner,Ryan,SS,Penn State University,PSU,5326,Penn State,BBC,R,R,56,276,1053,48.8%,12.4%,5.0%,16.3%,5.5%,11.7%,0.0%,0.4%,0.3%,61.1%,33.9%,22.2%
1013,1336580864,C. Cohn,Cooper Cohn,Cohn,Cooper,3B,Northern Illinois University,NIU,730386176,Northern Illinois,BBC,R,R,49,184,745,48.8%,6.1%,2.6%,24.1%,8.3%,10.1%,0.0%,0.0%,18.8%,54.9%,42.5%,32.4%
1014,1109527552,N. Monistere,Nick Monistere,Monistere,Nick,2B,The University of Southern Mississippi,USM,730246656,Southern Miss,BBC,R,R,63,300,1056,48.8%,2.0%,4.4%,25.8%,7.1%,11.9%,0.1%,0.0%,0.8%,50.8%,44.8%,32.8%
1015,1251439360,N. DeMarco,Nick DeMarco,DeMarco,Nick,3B,University of Notre Dame,ND,225,Notre Dame,BBC,R,R,53,214,895,48.8%,10.2%,4.2%,19.2%,6.1%,9.8%,1.6%,0.1%,1.2%,58.9%,36.9%,25.5%
1016,1143035136,J. Butler,Jake Butler,Butler,Jake,3B,George Mason University,GMU,730265088,George Mason,BBC,R,R,61,290,976,48.7%,7.5%,5.7%,26.9%,2.9%,7.7%,0.3%,0.1%,10.7%,56.2%,38.1%,30.0%
1017,1185347328,E. Apodaca,Enzo Apodaca,Apodaca,Enzo,RF,Baylor University,BAY,3033,Baylor,BBC,L,L,55,266,1021,48.7%,7.7%,4.5%,15.0%,7.4%,16.0%,0.4%,0.3%,0.3%,56.4%,39.1%,22.7%
1018,1664740599,K. Knutson,Keegan Knutson,Knutson,Keegan,2B,University of Missouri,MIZZ,4806,Missouri,BBC,R,R,44,173,634,48.7%,7.1%,6.9%,21.1%,5.3%,9.6%,0.3%,1.0%,1.9%,55.8%,37.3%,27.3%
1019,1282739674,J. Bowman,Jacob Bowman,Bowman,Jacob,SS,University of West Georgia,UOWG,730308864,West Georgia,BBC,R,R,46,161,599,48.7%,7.8%,4.8%,23.5%,6.5%,8.7%,0.0%,0.0%,61.6%,56.5%,38.7%,30.0%
1020,1132720128,C. Fisher,Cal Fisher,Fisher,Cal,3B,Florida State University,FSU,101,Florida State,BBC,R,R,53,225,897,48.7%,5.3%,3.3%,26.1%,7.2%,8.7%,0.7%,0.0%,2.5%,53.9%,42.7%,33.4%
1021,1132728832,A. Paskell,Anthony Paskell,Paskell,Anthony,CF,Rider University,RID,730174976,Rider,BBC,R,R,37,171,549,48.7%,10.6%,2.2%,23.5%,4.4%,9.3%,1.3%,0.0%,58.8%,59.3%,38.5%,27.9%
1022,1167256832,B. Stressler,Brenden Stressler,Stressler,Brenden,RF,Saint Louis University,SLU,2291,St. Louis,BBC,L,L,59,265,941,48.7%,1.7%,4.9%,21.2%,9.5%,13.5%,0.6%,0.0%,12.6%,50.4%,44.8%,30.7%
1023,1273211648,E. Lizama,Ethan Lizama,Lizama,Ethan,RF,Western Kentucky University,WKU,730212096,Western Kentucky,BBC,L,L,60,265,980,48.6%,2.9%,6.7%,17.6%,8.9%,15.3%,0.0%,0.0%,1.8%,51.6%,41.8%,26.5%
1024,1166939904,M. Imhoff,Max Imhoff,Imhoff,Max,C,Yale University,YALE,730334464,Yale,BBC,R,R,40,160,636,48.6%,5.4%,5.1%,27.6%,6.4%,6.4%,0.2%,0.2%,7.2%,54.1%,40.8%,34.2%
1025,1012549845,T. Kendrick,Thomas Kendrick,Kendrick,Thomas,LF,Saint Peter's University,SPC,730149888,Saint Peter's,BBC,S,R,47,221,718,48.6%,6.8%,5.5%,15.1%,15.1%,8.2%,0.7%,0.0%,79.7%,55.5%,39.0%,30.1%
1026,1254818495,L. Penfield,Landon Penfield,Penfield,Landon,3B,College of Charleston,COFC,730177792,College of Charleston,BBC,L,R,56,257,1049,48.6%,2.3%,4.7%,22.7%,9.5%,11.7%,0.5%,0.0%,7.2%,50.9%,44.4%,32.2%
1027,1892466609,C. Crowley,Colin Crowley,Crowley,Colin,3B,Winthrop University,WIN,730294784,Winthrop,BBC,L,R,55,215,830,48.6%,9.0%,3.0%,16.6%,8.9%,13.6%,0.2%,0.0%,0.8%,57.6%,39.4%,25.5%
1028,1086141696,M. Doyle,Michael Doyle,Doyle,Michael,3B,New Jersey Institute of Technology,NJIT,730313216,NJIT,BBC,R,R,43,167,583,48.6%,8.4%,3.7%,21.1%,5.3%,8.7%,1.1%,3.1%,38.9%,57.0%,39.3%,29.5%
1029,1971003791,J. Stevenson,Jared Stevenson,Stevenson,Jared,RF,Seattle University,SEA,4504,Seattle,BBC,R,R,52,213,848,48.6%,1.1%,0.5%,28.1%,8.3%,13.0%,0.4%,0.0%,11.9%,49.7%,49.8%,36.4%
1030,1105460480,T. Rodriguez,Taer Rodriguez,Rodriguez,Taer,3B,Dartmouth College,DART,730216192,Dartmouth,BBC,R,R,36,164,624,48.6%,8.3%,2.0%,24.1%,8.3%,8.3%,0.4%,0.0%,20.8%,56.9%,41.1%,32.4%
1031,1334300928,J. Vos,Joe Vos,Vos,Joe,CF,University of St. Thomas (Minn.),UOST,730200320,University of St. Thomas (Minn.),BBC,L,L,50,199,742,48.6%,9.0%,2.1%,18.7%,5.9%,13.3%,0.9%,1.4%,43.1%,57.6%,40.3%,26.1%
1031,1162011904,C. Ostrander,Connor Ostrander,Ostrander,Connor,RF,Western Michigan University,WMU,730165248,Western Michigan,BBC,L,R,50,198,824,48.6%,12.1%,4.3%,16.1%,3.8%,15.2%,0.0%,0.0%,48.8%,60.7%,35.1%,19.9%
1033,1078425600,M. Flaharty,Matt Flaharty,Flaharty,Matt,2B,University of Utah,UTAH,730328320,Utah,BBC,L,R,47,219,791,48.6%,9.7%,4.7%,20.2%,6.6%,9.4%,0.3%,0.3%,11.3%,58.3%,37.0%,27.4%
1034,1085410304,J. Toomey,Jack Toomey,Toomey,Jack,RF,Boston College,BC,227,Boston College,BBC,R,R,57,254,1064,48.6%,8.3%,2.6%,25.0%,8.2%,7.0%,0.1%,0.4%,4.4%,56.8%,40.6%,33.5%
1035,1251197184,J. Sample,Jaryn Sample,Sample,Jaryn,3B,Delaware State University,DSU,730217984,Delaware State,BBC,R,R,39,167,534,48.6%,0.0%,0.0%,17.1%,11.4%,22.9%,0.0%,0.0%,93.4%,48.6%,51.4%,28.6%
1035,1313501184,L. Jenkins,Leighton Jenkins,Jenkins,Leighton,SS,University of North Alabama,UNA,730266624,North Alabama,BBC,R,R,55,216,809,48.6%,6.0%,2.4%,24.3%,11.2%,7.1%,0.0%,0.5%,48.1%,54.5%,43.1%,36.0%
1037,1301451776,E. Sullivan,Evin Sullivan,Sullivan,Evin,C,Binghamton University,BING,730155776,Binghamton,BBC,R,R,54,245,878,48.6%,7.7%,4.1%,26.4%,4.7%,7.9%,0.1%,0.5%,16.7%,56.2%,39.7%,31.6%
1038,1196832256,S. McGee,Sean McGee,McGee,Sean,SS,Stonehill College,SC,730238464,Stonehill,BBC,R,R,44,217,752,48.6%,1.4%,1.4%,26.1%,9.2%,11.5%,1.1%,0.6%,53.7%,50.0%,48.6%,35.9%
1039,1233812992,D. Kordic,Dylan Kordic,Kordic,Dylan,RF,Cal Poly,CP,5487,Cal Poly,BBC,L,R,58,239,905,48.6%,7.0%,2.9%,16.6%,6.2%,14.9%,2.8%,1.1%,0.1%,55.5%,41.6%,23.9%
1040,1202710784,G. Boree,Gunner Boree,Boree,Gunner,2B,Brown University,BRWN,730236160,Brown,BBC,R,R,33,155,631,48.6%,7.9%,2.2%,24.0%,7.7%,8.3%,1.0%,0.3%,1.1%,56.4%,41.3%,32.1%
1041,1268368896,R. Pierce,Ryan Pierce,Pierce,Ryan,3B,Saint Mary's College (CA),SMC,730288896,Saint Mary's,BBC,R,R,61,275,1005,48.6%,1.6%,3.6%,26.8%,7.2%,11.5%,0.8%,0.0%,0.0%,50.1%,46.3%,33.9%
1042,1162550784,M. Strong,Mason Strong,Strong,Mason,C,Utah Valley University,UVU,730263552,Utah Valley,BBC,R,R,58,273,918,48.5%,5.5%,5.8%,19.4%,7.1%,13.7%,0.0%,0.0%,21.2%,54.1%,40.1%,26.4%
1043,1195406592,B. Heckelman,Brian Heckelman,Heckelman,Brian,C,Towson University,TOWS,730318336,Towson,BBC,R,R,53,200,753,48.5%,5.2%,4.7%,24.8%,5.7%,10.2%,1.0%,0.0%,17.9%,53.7%,41.6%,30.4%
1044,1195528019,B. Miller,Brady Miller,Miller,Brady,2B,Lipscomb University,LIP,730307072,Lipscomb,BBC,R,R,50,218,791,48.5%,9.6%,6.7%,20.9%,6.1%,7.6%,0.4%,0.0%,13.5%,58.2%,35.1%,27.0%
1045,1251236096,N. Shuhet,Nick Shuhet,Shuhet,Nick,C,Rider University,RID,730174976,Rider,BBC,R,R,51,226,701,48.5%,2.5%,3.4%,25.5%,7.4%,12.3%,0.5%,0.0%,70.9%,51.0%,45.6%,32.8%
1046,1667683494,X. Melendez,Xavier Melendez,Melendez,Xavier,1B,University of Texas-Arlington,UTA,5324,UT Arlington,BBC,R,R,48,216,766,48.5%,6.9%,3.1%,13.3%,13.5%,13.9%,0.8%,0.0%,6.9%,55.4%,41.5%,26.8%
1047,1176069376,R. Villeneuve,Robin Villeneuve,Villeneuve,Robin,1B,Texas Tech University,TTU,2350,Texas Tech,BBC,R,L,52,226,885,48.5%,4.6%,2.8%,21.2%,8.4%,13.4%,0.9%,0.1%,0.3%,53.2%,44.0%,29.7%
1048,1504137946,B. Baughcum,Brant Baughcum,Baughcum,Brant,3B,Mercer University,MER,730240512,Mercer,BBC,R,R,60,273,911,48.5%,3.3%,4.5%,23.5%,6.4%,13.4%,0.3%,0.0%,3.4%,51.8%,43.6%,29.9%
1049,1263747328,B. Kleiman,Brendan Kleiman,Kleiman,Brendan,C,Eastern Michigan University,EMU,5385,Eastern Michigan,BBC,R,R,45,195,747,48.5%,10.5%,2.7%,29.6%,3.6%,5.0%,0.0%,0.0%,41.2%,59.0%,38.3%,33.3%
1050,1251444480,J. Gauthier,JP Gauthier,Gauthier,JP,RF,Northern Illinois University,NIU,730386176,Northern Illinois,BBC,R,R,48,194,729,48.5%,3.4%,2.3%,28.2%,7.0%,9.4%,0.9%,0.2%,12.1%,52.0%,45.7%,35.4%
1051,1998981725,K. Smith,Kaden Smith,Smith,Kaden,LF,Charleston Southern University,CHSO,730194432,Charleston Southern,BBC,R,R,50,241,885,48.5%,4.3%,3.1%,25.6%,7.8%,10.3%,0.5%,0.0%,1.0%,52.9%,44.1%,33.3%
1052,1080800768,Z. Rogacki,Zach Rogacki,Rogacki,Zach,C,Binghamton University,BING,730155776,Binghamton,BBC,L,R,55,249,877,48.5%,6.9%,5.0%,20.2%,3.1%,16.0%,0.0%,0.1%,16.1%,55.4%,39.5%,23.5%
1053,1306772224,E. Hartmann,Erich Hartmann,Hartmann,Erich,RF,Rider University,RID,730174976,Rider,BBC,L,L,49,222,705,48.5%,6.0%,5.6%,19.7%,8.6%,9.4%,0.9%,1.3%,67.0%,54.5%,39.9%,29.6%
1054,1887725148,N. Colby,Nolan Colby,Colby,Nolan,2B,Fairfield University,FAIR,730380544,Fairfield,BBC,L,R,58,248,931,48.5%,7.3%,0.2%,26.9%,4.7%,11.2%,1.2%,0.0%,54.1%,55.7%,44.0%,31.6%
1055,1911454103,S. Edwards,Savoi Edwards,Edwards,Savoi,LF,North Carolina A&T State University,NCAT,730372352,North Carolina A&T,BBC,L,L,49,182,674,48.5%,5.5%,1.5%,23.3%,6.5%,13.7%,0.5%,0.5%,13.4%,53.9%,44.5%,30.3%
1056,1990583503,N. Savoie,Nate Savoie,Savoie,Nate,LF,Loyola Marymount University,LMU,730149120,Loyola Marymount,BBC,R,R,53,232,870,48.5%,4.6%,3.3%,26.7%,6.4%,8.9%,1.4%,0.2%,6.9%,53.0%,43.6%,33.4%
1057,1580046678,J. Gomez,Jonathan Gomez,Gomez,Jonathan,SS,Fairleigh Dickinson University,FDU,730355200,Fairleigh Dickinson,BBC,R,R,53,240,823,48.4%,0.3%,2.1%,24.9%,9.3%,14.9%,0.0%,0.0%,64.9%,48.8%,49.1%,34.3%
1058,1310447872,D. Moquin,Dillon Moquin,Moquin,Dillon,RF,Appalachian State University,APP,730240256,Appalachian State,BBC,L,R,43,187,699,48.4%,5.7%,2.1%,19.9%,8.2%,14.9%,0.4%,0.3%,0.0%,54.2%,43.7%,28.4%
1059,1153715968,J. Overton,Jordan Overton,Overton,Jordan,P,Iona College,IONA,730242048,Iona,BBC,R,R,44,208,593,48.4%,12.6%,0.0%,34.7%,2.1%,2.1%,0.0%,0.0%,84.0%,61.1%,38.9%,36.8%
1060,1848151360,B. Campbell,Bryce Campbell,Campbell,Bryce,1B,New Mexico State University,NMSU,730302720,New Mexico State,BBC,R,R,39,182,683,48.4%,7.5%,3.2%,22.9%,5.4%,11.9%,0.5%,0.2%,8.6%,55.9%,40.9%,28.5%
1061,1263372544,L. Arnold,Luke Arnold,Arnold,Luke,SS,Wright State University,WRST,5390,Wright State,BBC,R,R,58,245,892,48.4%,3.6%,8.0%,23.8%,7.1%,8.3%,0.3%,0.4%,23.1%,52.0%,39.9%,31.3%
1062,1084056064,D. Ornelas,Devan Ornelas,Ornelas,Devan,CF,Loyola Marymount University,LMU,730149120,Loyola Marymount,BBC,L,R,57,254,896,48.4%,4.2%,2.4%,19.9%,7.2%,16.6%,1.0%,0.4%,7.0%,52.6%,45.0%,27.5%
1063,1279343872,J. Kail,Jack Kail,Kail,Jack,2B,Columbia University,CLMB,730319104,Columbia,BBC,L,R,49,228,790,48.4%,8.3%,4.8%,17.3%,6.0%,13.2%,1.0%,1.0%,2.4%,56.7%,38.5%,24.3%
1064,1297508864,H. Friese,Hayden Friese,Friese,Hayden,1B,Western Carolina University,WCU,730278144,Western Carolina,BBC,L,R,57,276,1020,48.4%,5.4%,2.3%,21.3%,4.6%,17.5%,0.4%,0.1%,3.3%,53.8%,43.9%,26.0%
1065,1297504512,J. Waller,Jackson Waller,Waller,Jackson,CF,University of Nevada,NEV,4784,Nevada,BBC,R,R,57,258,802,48.4%,4.9%,3.3%,23.3%,10.8%,8.6%,0.9%,0.0%,0.2%,53.3%,43.5%,34.0%
