Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,PA,1B%,x1B%,x1B%Df,2B%,x2B%,x2B%Df,3B%,x3B%,x3B%Df,HR%,xHR%,xHR%Df,XBH%,xXBH%,xXBH%Df
1072,1303465472,R. Kroepel,Ryan Kroepel,Kroepel,Ryan,3B,Utah Tech University,UTU,730318592,Utah Tech,BBC,L,R,55,244,21.7%,19.5%,2.2%,6.1%,5.3%,0.8%,0.8%,0.6%,0.2%,2.5%,2.3%,0.1%,9.4%,7.0%,2.4%
1073,1198413057,V. Sheahan,Vance Sheahan,Sheahan,Vance,SS,University of South Carolina Upstate,SCUS,730317312,South Carolina Upstate,BBC,R,R,61,306,19.3%,18.7%,0.6%,5.2%,5.1%,0.1%,0.0%,0.5%,-0.5%,3.9%,2.3%,1.6%,9.2%,6.9%,2.2%
1074,1083614720,C. Jans,Chase Jans,Jans,Chase,LF,Nicholls State University,NICH,730284032,Nicholls State,BBC,R,R,39,168,23.2%,19.1%,4.1%,3.6%,4.7%,-1.1%,0.0%,0.5%,-0.5%,1.8%,2.3%,-0.5%,5.4%,6.8%,-1.4%
1075,1099860992,C. Taggart,Casen Taggart,Taggart,Casen,1B,University of Washington,WASH,3110,Washington,BBC,L,R,50,226,17.3%,13.0%,4.3%,4.9%,4.5%,0.4%,0.0%,0.5%,-0.5%,2.7%,2.3%,0.3%,7.5%,5.6%,2.0%
1076,1172414720,J. Osterhouse,Justin Osterhouse,Osterhouse,Justin,2B,Fort Wayne,PFW,730231552,Fort Wayne,BBC,L,R,52,243,15.2%,14.3%,0.9%,4.1%,4.3%,-0.1%,0.4%,0.6%,-0.2%,6.6%,2.3%,4.3%,11.1%,5.8%,5.4%
1077,1179407616,E. Snider,Eston Snider,Snider,Eston,CF,Middle Tennessee State University,MTU,730158336,Middle Tennessee State,BBC,R,R,55,257,19.5%,16.7%,2.7%,6.2%,3.6%,2.6%,0.4%,0.3%,0.1%,2.3%,2.3%,<0.1%,8.9%,5.2%,3.7%
1078,1266589184,M. Zarrillo,Michael Zarrillo,Zarrillo,Michael,3B,Lafayette College,LAF,730217728,Lafayette,BBC,S,R,49,213,17.4%,16.5%,0.9%,5.2%,4.3%,0.9%,0.0%,0.6%,-0.6%,2.8%,2.3%,0.5%,8.0%,6.3%,1.7%
1079,1071999889,M. Ross,Max Ross,Ross,Max,RF,Santa Clara University,SCU,730297600,Santa Clara,BBC,L,R,42,167,12.0%,13.6%,-1.7%,4.2%,3.8%,0.4%,1.2%,0.5%,0.7%,1.2%,2.3%,-1.1%,6.6%,5.5%,1.1%
1080,1298788096,J. Cauthron,Jackson Cauthron,Cauthron,Jackson,C,Ohio University,OHIO,730298368,Ohio,BBC,L,R,49,214,14.0%,11.7%,2.3%,5.1%,4.3%,0.9%,0.5%,0.5%,-0.0%,3.3%,2.3%,1.0%,8.9%,5.8%,3.0%
1081,1911454103,S. Edwards,Savoi Edwards,Edwards,Savoi,LF,North Carolina A&T State University,NCAT,730372352,North Carolina A&T,BBC,L,L,49,182,12.1%,14.9%,-2.8%,5.5%,5.2%,0.3%,0.5%,0.7%,-0.1%,2.7%,2.3%,0.4%,8.8%,7.1%,1.7%
1082,1253268027,B. Primrose,Blake Primrose,Primrose,Blake,C,Saint Joseph's University,JOES,730332416,Saint Joseph's,BBC,R,R,42,168,19.6%,15.1%,4.5%,5.4%,5.9%,-0.6%,0.0%,0.5%,-0.5%,3.0%,2.3%,0.7%,8.3%,7.4%,0.9%
1083,1243383808,J. Chirello,Jackson Chirello,Chirello,Jackson,RF,Kennesaw State University,KENN,730197504,Kennesaw State,BBC,L,R,44,193,11.4%,12.7%,-1.3%,6.7%,5.0%,1.8%,0.5%,0.7%,-0.2%,2.6%,2.3%,0.3%,9.8%,6.4%,3.5%
1084,1160633344,B. White,Brayden White,White,Brayden,C,University of Toledo,TOL,5388,Toledo,BBC,R,R,53,203,16.3%,16.0%,0.2%,3.0%,3.5%,-0.6%,0.5%,0.5%,<0.1%,1.5%,2.3%,-0.8%,4.9%,5.5%,-0.5%
1085,1306879489,D. Ruiz,Damian Ruiz,Ruiz,Damian,RF,Lamar University,LAM,730162432,Lamar,BBC,R,R,56,274,19.0%,15.9%,3.1%,8.0%,5.7%,2.4%,0.7%,0.4%,0.3%,2.6%,2.3%,0.3%,11.3%,6.5%,4.8%
1086,1263988992,B. Wilson,Blake Wilson,Wilson,Blake,2B,University of Washington,WASH,3110,Washington,BBC,R,R,53,201,11.4%,12.8%,-1.4%,4.5%,3.5%,1.0%,0.5%,0.4%,0.1%,2.5%,2.3%,0.2%,7.5%,5.4%,2.0%
1087,1239325952,R. Drumm,Ryan Drumm,Drumm,Ryan,LF,Butler University,BUT,730283520,Butler,BBC,R,R,54,221,15.8%,15.5%,0.4%,6.3%,6.8%,-0.5%,0.9%,0.4%,0.5%,2.7%,2.3%,0.4%,10.0%,8.1%,1.9%
1088,1075204352,M. Brodil,Marcus Brodil,Brodil,Marcus,RF,University of South Florida,USF,2292,South Florida,BBC,L,L,56,239,20.1%,17.8%,2.3%,5.4%,4.1%,1.3%,0.0%,0.3%,-0.3%,1.3%,2.3%,-1.0%,6.7%,5.5%,1.2%
1089,1080156160,C. Hassert,Cameron Hassert,Hassert,Cameron,SS,Loyola Marymount University,LMU,730149120,Loyola Marymount,BBC,L,R,56,273,20.9%,14.3%,6.6%,2.9%,4.0%,-1.0%,0.7%,0.5%,0.2%,2.2%,2.3%,-0.1%,5.9%,5.4%,0.4%
1090,1304694272,J. Raifstanger,Jayder Raifstanger,Raifstanger,Jayder,3B,St. John's University (NY),SJU,4285,St. John's,BBC,L,R,52,259,21.6%,17.6%,4.0%,4.6%,5.6%,-1.0%,0.8%,0.6%,0.1%,1.5%,2.3%,-0.7%,6.9%,6.8%,0.1%
1091,1263466240,S. Warfield,Spencer Warfield,Warfield,Spencer,CF,Valparaiso University,VALP,730369536,Valparaiso,BBC,R,R,48,180,8.3%,11.1%,-2.8%,2.8%,3.8%,-1.1%,1.7%,0.4%,1.3%,3.3%,2.3%,1.0%,7.8%,5.5%,2.3%
1092,1689777523,C. Smith,Cayden Smith,Smith,Cayden,TWP,Central Michigan University,CMU,5342,Central Michigan,BBC,R,R,51,219,12.3%,16.1%,-3.7%,6.4%,4.5%,1.9%,1.4%,0.5%,0.9%,1.8%,2.3%,-0.5%,9.6%,6.1%,3.5%
1093,1327580416,J. Mennella,Joseph Mennella,Mennella,Joseph,1B,Wagner College,WAG,730192640,Wagner,BBC,R,R,51,217,10.1%,11.7%,-1.6%,6.0%,6.1%,-0.1%,0.0%,0.5%,-0.5%,5.5%,2.3%,3.3%,11.5%,7.3%,4.2%
1094,1132720384,D. Hamilton,Davis Hamilton,Hamilton,Davis,3B,North Dakota State University,NDSU,730343168,North Dakota State,BBC,L,R,54,245,18.4%,18.6%,-0.3%,4.9%,5.2%,-0.3%,1.2%,0.6%,0.6%,2.0%,2.3%,-0.2%,8.2%,6.8%,1.3%
1095,1056312556,Z. Thompson,Zack Thompson,Thompson,Zack,C,Mercer University,MER,730240512,Mercer,BBC,R,R,53,187,15.0%,15.5%,-0.5%,3.7%,5.8%,-2.1%,0.0%,0.4%,-0.4%,1.6%,2.3%,-0.7%,5.3%,7.0%,-1.6%
1096,1310853632,S. Rivera,Sergio Rivera,Rivera,Sergio,RF,Bethune-Cookman University,COOK,730152960,Bethune-Cookman,BBC,R,R,51,188,14.4%,10.3%,4.1%,5.9%,4.1%,1.7%,1.6%,0.3%,1.2%,1.6%,2.3%,-0.7%,9.0%,5.0%,4.1%
1097,1163782059,B. Fowler,Bryce Fowler,Fowler,Bryce,RF,University of Alabama,ALA,730206976,Alabama,BBC,L,L,59,283,16.6%,18.9%,-2.3%,3.2%,4.7%,-1.5%,0.0%,0.6%,-0.6%,2.5%,2.3%,0.2%,5.7%,6.3%,-0.6%
1098,1257331968,L. Leto,Luke Leto,Leto,Luke,CF,University of Toledo,TOL,5388,Toledo,BBC,L,R,60,245,14.3%,14.0%,0.3%,5.3%,3.5%,1.8%,1.2%,0.4%,0.8%,2.9%,2.3%,0.6%,9.4%,5.3%,4.1%
1099,1341664768,C. Becker,Colten Becker,Becker,Colten,LF,North Dakota State University,NDSU,730343168,North Dakota State,BBC,L,L,53,236,16.9%,13.9%,3.1%,3.8%,5.1%,-1.2%,0.8%,0.5%,0.3%,2.5%,2.3%,0.3%,7.2%,6.6%,0.6%
1100,1182038272,O. Hull,Owen Hull,Hull,Owen,RF,George Mason University,GMU,730265088,George Mason,BBC,L,R,61,298,20.5%,19.9%,0.6%,5.0%,4.2%,0.8%,1.0%,0.4%,0.6%,2.7%,2.3%,0.4%,8.7%,5.4%,3.3%
1101,1097643008,B. Williams,Brody Williams,Williams,Brody,C,Kent State University,KENT,730315008,Kent State,BBC,R,R,51,232,18.5%,13.4%,5.1%,5.2%,4.5%,0.7%,0.4%,0.6%,-0.2%,3.0%,2.2%,0.8%,8.6%,5.9%,2.7%
1102,1292547072,M. Mugan,Michael Mugan,Mugan,Michael,CF,Southeast Missouri State University,SEMO,730168576,Southeast Missouri State,BBC,R,R,54,265,15.5%,15.5%,<0.1%,4.2%,3.1%,1.0%,0.4%,0.3%,<0.1%,3.4%,2.2%,1.2%,7.9%,4.8%,3.2%
1103,1294345728,S. Stephenson,Sam Stephenson,Stephenson,Sam,SS,Northwestern State University,NWST,730255872,Northwestern State,BBC,R,R,56,270,14.8%,15.7%,-0.8%,5.6%,3.9%,1.6%,0.0%,0.4%,-0.4%,4.1%,2.2%,1.8%,9.6%,5.1%,4.6%
1104,1203265280,P. Engskov,Patrick Engskov,Engskov,Patrick,SS,Arkansas State University,ARST,730290176,Arkansas State,BBC,R,R,53,228,16.2%,14.6%,1.6%,5.7%,5.5%,0.2%,0.0%,0.4%,-0.4%,3.9%,2.2%,1.7%,9.6%,7.1%,2.5%
1105,1673066641,R. Pitts Jr.,Robert Pitts Jr.,Pitts Jr.,Robert,CF,UC Riverside,UCRV,730281728,UC Riverside,BBC,R,R,51,234,20.9%,17.0%,3.9%,6.4%,4.7%,1.7%,0.4%,0.5%,-0.0%,1.3%,2.2%,-1.0%,8.1%,6.6%,1.5%
1106,1087834880,Z. Spinn,Zane Spinn,Spinn,Zane,SS,Lamar University,LAM,730162432,Lamar,BBC,L,R,57,259,19.7%,16.0%,3.7%,5.0%,5.2%,-0.1%,0.4%,0.5%,-0.1%,1.9%,2.2%,-0.3%,7.3%,6.8%,0.6%
1107,1329021184,T. Marsh,Tanner Marsh,Marsh,Tanner,SS,Liberty University,LIB,730156288,Liberty,BBC,R,R,56,267,20.2%,17.6%,2.7%,4.1%,4.1%,<0.1%,0.4%,0.4%,-0.1%,0.7%,2.2%,-1.5%,5.2%,5.8%,-0.6%
1108,1334298880,N. Furcht,Noah Furcht,Furcht,Noah,RF,UNC Charlotte,CHAR,730214400,Charlotte,BBC,R,R,58,257,16.0%,13.2%,2.7%,3.1%,4.1%,-1.0%,0.4%,0.4%,-0.0%,2.3%,2.2%,0.1%,5.8%,5.8%,0.1%
1109,1333117952,G. Cutting,Garrett Cutting,Cutting,Garrett,SS,Youngstown State University,YSU,730284544,Youngstown State,BBC,R,R,57,247,13.0%,12.0%,0.9%,3.2%,3.9%,-0.7%,0.8%,0.4%,0.4%,2.4%,2.2%,0.2%,6.5%,5.8%,0.7%
1110,1182004481,B. Nace,Breckin Nace,Nace,Breckin,TWP,Radford University,RAD,730267392,Radford,BBC,L,L,51,232,19.4%,17.7%,1.7%,5.2%,4.6%,0.6%,1.3%,0.6%,0.7%,2.2%,2.2%,-0.1%,8.6%,5.9%,2.8%
1111,1285714688,H. Taubert,Harrison Taubert,Taubert,Harrison,RF,University of Evansville,EVAN,730327808,Evansville,BBC,R,R,54,229,10.0%,10.0%,0.1%,7.4%,7.0%,0.5%,0.0%,0.4%,-0.4%,3.5%,2.2%,1.3%,10.9%,7.8%,3.1%
1112,1143035136,J. Butler,Jake Butler,Butler,Jake,3B,George Mason University,GMU,730265088,George Mason,BBC,R,R,61,290,20.0%,18.1%,1.9%,2.4%,4.1%,-1.7%,0.0%,0.4%,-0.4%,1.7%,2.2%,-0.5%,4.1%,5.3%,-1.2%
1113,1132728832,A. Paskell,Anthony Paskell,Paskell,Anthony,CF,Rider University,RID,730174976,Rider,BBC,R,R,37,171,14.6%,13.3%,1.3%,5.3%,5.5%,-0.2%,0.0%,0.3%,-0.3%,1.8%,2.2%,-0.5%,7.0%,6.6%,0.4%
1114,1157355776,B. Rocha,Bubba Rocha,Rocha,Bubba,LF,California Baptist University,CBU,5091,California Baptist,BBC,R,R,46,200,18.0%,15.2%,2.8%,6.5%,3.6%,2.9%,0.0%,0.5%,-0.5%,1.5%,2.2%,-0.7%,8.0%,4.9%,3.1%
1115,1132701184,C. McGinnis,Cal McGinnis,McGinnis,Cal,2B,University of Evansville,EVAN,730327808,Evansville,BBC,L,R,47,216,23.1%,19.2%,3.9%,4.6%,5.4%,-0.8%,0.0%,0.5%,-0.5%,1.9%,2.2%,-0.4%,6.5%,7.3%,-0.8%
1116,1750930555,A. Piasecki,Aaron Piasecki,Piasecki,Aaron,2B,Central Michigan University,CMU,5342,Central Michigan,BBC,L,R,55,248,18.5%,17.1%,1.5%,6.0%,5.1%,1.0%,1.2%,0.6%,0.6%,1.2%,2.2%,-1.0%,8.5%,6.7%,1.7%
1117,1220816128,B. Padilla,Bryan Padilla,Padilla,Bryan,2B,University of Connecticut,CONN,5486,Connecticut,BBC,R,R,56,232,15.1%,14.2%,0.9%,3.9%,5.3%,-1.5%,0.0%,0.4%,-0.4%,2.2%,2.2%,-0.1%,6.0%,6.6%,-0.5%
1118,1189127680,S. Meier,Steven Meier,Meier,Steven,CF,Troy University,TROY,730378496,Troy,BBC,L,L,57,275,13.5%,14.3%,-0.9%,5.8%,4.1%,1.7%,0.7%,0.4%,0.3%,2.9%,2.2%,0.7%,9.5%,5.2%,4.3%
1119,1251440128,T. Batusich,Ty Batusich,Batusich,Ty,P,Miami University (Ohio),M-OH,730379264,Miami (OH),BBC,L,R,58,277,17.7%,17.8%,-0.1%,4.3%,3.8%,0.6%,0.0%,0.4%,-0.4%,2.2%,2.2%,-0.0%,6.5%,5.1%,1.4%
1120,1334301184,B. Vujovich,Ben Vujovich,Vujovich,Ben,RF,University of St. Thomas (Minn.),UOST,730200320,University of St. Thomas (Minn.),BBC,L,R,50,219,17.4%,19.6%,-2.2%,5.0%,4.9%,0.1%,0.5%,0.5%,-0.0%,3.7%,2.2%,1.5%,9.1%,6.7%,2.4%
1121,1232652032,M. Lareau,Michael Lareau,Lareau,Michael,CF,Belmont University,BEL,730190336,Belmont,BBC,L,L,53,197,17.3%,15.6%,1.6%,6.1%,4.9%,1.1%,0.0%,0.4%,-0.4%,2.0%,2.2%,-0.2%,8.1%,6.3%,1.9%
1122,1297547264,T. Kamaka,Titan Kamaka,Kamaka,Titan,2B,Mercer University,MER,730240512,Mercer,BBC,R,R,52,234,16.7%,15.5%,1.2%,4.7%,4.6%,0.1%,0.0%,0.3%,-0.3%,3.4%,2.2%,1.2%,8.1%,6.1%,2.0%
1123,1549740470,N. Book,Nolan Book,Book,Nolan,SS,Mount St. Mary's University,MSM,730291712,Mount St. Mary's,BBC,R,R,50,218,21.1%,20.5%,0.6%,4.6%,4.3%,0.3%,0.0%,0.5%,-0.5%,1.8%,2.2%,-0.4%,6.4%,6.0%,0.5%
1124,1263255296,N. Williams,Nick Williams,Williams,Nick,LF,Michigan State University,MSU,1551,Michigan State,BBC,R,R,53,215,13.0%,14.9%,-1.9%,4.7%,4.7%,-0.0%,0.9%,0.5%,0.4%,2.3%,2.2%,0.1%,7.9%,5.8%,2.1%
1125,1376880456,G. Natividad,Gabe Natividad,Natividad,Gabe,2B,Winthrop University,WIN,730294784,Winthrop,BBC,R,R,60,295,18.3%,17.0%,1.4%,4.7%,2.7%,2.1%,1.0%,0.4%,0.6%,2.0%,2.2%,-0.2%,7.8%,3.9%,3.9%
1126,1193792412,D. Vachini,Dante Vachini,Vachini,Dante,LF,Cal Poly,CP,5487,Cal Poly,BBC,L,R,61,258,19.4%,16.1%,3.3%,5.8%,3.7%,2.1%,0.8%,0.5%,0.2%,1.2%,2.2%,-1.0%,7.8%,5.6%,2.2%
1127,1085543680,B. Niednagel,Ben Niednagel,Niednagel,Ben,SS,Air Force Academy,AFA,730205440,Air Force,BBC,L,R,51,198,14.1%,16.6%,-2.4%,3.5%,3.2%,0.3%,1.5%,0.4%,1.1%,0.5%,2.2%,-1.7%,5.6%,4.6%,0.9%
1128,1123497984,J. Holder,Jaxon Holder,Holder,Jaxon,SS,Southern Illinois University,SIU,730349824,Southern Illinois,BBC,L,R,51,203,18.2%,20.0%,-1.7%,4.9%,5.1%,-0.2%,1.0%,0.6%,0.3%,3.0%,2.2%,0.8%,8.9%,6.6%,2.3%
1129,1212113408,A. Wiggins,Andrew Wiggins,Wiggins,Andrew,RF,"Indiana University, Bloomington",IND,4866,Indiana,BBC,L,R,43,183,12.0%,14.8%,-2.8%,3.8%,3.4%,0.4%,0.5%,0.3%,0.2%,2.2%,2.2%,<0.1%,6.6%,4.4%,2.2%
1130,1291311872,I. Cadena,Isaac Cadena,Cadena,Isaac,1B,Texas Christian University,TCU,5045,TCU,BBC,L,R,56,248,13.7%,14.6%,-0.9%,1.6%,4.2%,-2.6%,0.8%,0.6%,0.2%,3.2%,2.2%,1.0%,5.6%,5.7%,-0.1%
1131,1577654543,A. Walters,Andrew Walters,Walters,Andrew,3B,California Baptist University,CBU,5091,California Baptist,BBC,R,R,52,216,16.7%,14.2%,2.5%,3.7%,4.3%,-0.6%,0.5%,0.4%,0.1%,4.2%,2.2%,2.0%,8.3%,5.3%,3.0%
1132,1310892801,K. Edwards,Kyle Edwards,Edwards,Kyle,SS,Old Dominion University,ODU,3090,Old Dominion,BBC,S,R,53,231,15.6%,15.1%,0.5%,5.2%,4.4%,0.7%,0.9%,0.5%,0.4%,1.7%,2.2%,-0.4%,7.8%,6.2%,1.6%
1133,1936686658,N. Beckley,Nathan Beckley,Beckley,Nathan,1B,Youngstown State University,YSU,730284544,Youngstown State,BBC,L,R,53,209,15.3%,14.7%,0.6%,7.2%,4.7%,2.5%,0.5%,0.5%,-0.0%,1.9%,2.2%,-0.3%,9.6%,6.1%,3.5%
1134,1135882752,C. Carson,Christopher Carson,Carson,Christopher,CF,Stony Brook University,STON,730249984,Stony Brook,BBC,L,L,47,170,16.5%,16.4%,0.1%,1.8%,5.2%,-3.4%,1.8%,0.7%,1.1%,2.4%,2.2%,0.2%,5.9%,7.0%,-1.1%
1135,1207846144,N. Hollifield,Nick Hollifield,Hollifield,Nick,C,UAB,UAB,730345984,UAB,BBC,R,R,52,226,14.2%,16.4%,-2.3%,5.8%,6.7%,-1.0%,0.0%,0.6%,-0.6%,2.2%,2.2%,0.1%,8.0%,7.8%,0.1%
1136,1679314314,K. Decelle,Kenny Decelle,Decelle,Kenny,CF,University of San Francisco,SF,730365696,San Francisco,BBC,R,R,55,245,13.5%,15.2%,-1.7%,4.5%,6.1%,-1.6%,1.2%,0.5%,0.8%,2.9%,2.2%,0.7%,8.6%,7.4%,1.2%
1137,1080345344,K. Holm,Kai Holm,Holm,Kai,SS,Lipscomb University,LIP,730307072,Lipscomb,BBC,R,R,51,227,18.5%,17.1%,1.4%,2.2%,3.6%,-1.4%,0.9%,0.5%,0.4%,2.6%,2.2%,0.5%,5.7%,5.2%,0.6%
1138,1305531530,T. Gambill,Trey Gambill,Gambill,Trey,LF,University of Oklahoma,OKLA,730294528,Oklahoma,BBC,L,R,56,245,15.5%,15.9%,-0.3%,4.1%,4.7%,-0.6%,0.4%,0.6%,-0.2%,1.6%,2.2%,-0.5%,6.1%,5.7%,0.5%
1139,1100775680,C. Cannarella,Cam Cannarella,Cannarella,Cam,CF,Clemson University,CLEM,730358784,Clemson,BBC,L,R,61,292,18.2%,19.0%,-0.8%,7.5%,5.2%,2.4%,0.7%,0.5%,0.2%,1.7%,2.2%,-0.4%,9.9%,6.2%,3.7%
1140,1297498880,J. Orr,Jacob Orr,Orr,Jacob,LF,University of Maryland-College Park,MD,730172928,Maryland,BBC,R,R,52,229,14.8%,16.7%,-1.9%,7.9%,6.0%,1.9%,0.9%,0.7%,0.2%,3.1%,2.2%,0.9%,11.8%,7.8%,4.0%
1141,1224643840,R. Seymour,Randy Seymour,Seymour,Randy,SS,Michigan State University,MSU,1551,Michigan State,BBC,R,R,55,230,14.8%,15.9%,-1.1%,5.2%,4.7%,0.5%,1.3%,0.4%,0.9%,1.7%,2.2%,-0.4%,8.3%,6.3%,2.0%
1142,1415553116,L. Scilley,Landon Scilley,Scilley,Landon,3B,Liberty University,LIB,730156288,Liberty,BBC,R,R,56,239,16.7%,15.3%,1.5%,3.8%,3.8%,-0.1%,0.4%,0.5%,-0.1%,2.1%,2.2%,-0.1%,6.3%,5.7%,0.5%
1143,1185724160,C. Riley,Chandler Riley,Riley,Chandler,2B,UNC Charlotte,CHAR,730214400,Charlotte,BBC,L,R,55,245,15.9%,16.2%,-0.3%,3.3%,4.2%,-0.9%,0.0%,0.5%,-0.5%,2.0%,2.2%,-0.1%,5.3%,5.8%,-0.5%
1144,1235490304,K. Hager,Kevin Hager,Hager,Kevin,SS,Cornell University,COR,730298624,Cornell,BBC,R,R,34,156,16.0%,15.6%,0.4%,4.5%,5.6%,-1.1%,0.0%,0.5%,-0.5%,1.3%,2.1%,-0.9%,5.8%,6.5%,-0.8%
1145,1025585446,C. Johnstone,Carter Johnstone,Johnstone,Carter,3B,Cal State Fullerton,CSF,5414,CSU Fullerton,BBC,L,R,53,255,19.6%,18.2%,1.4%,5.5%,4.7%,0.8%,1.2%,0.7%,0.5%,2.7%,2.1%,0.6%,9.4%,6.4%,3.1%
1146,1327586816,A. Greco,Anthony Greco,Greco,Anthony,1B,College of William & Mary,WM,730232064,William & Mary,BBC,L,R,53,226,14.2%,13.3%,0.8%,3.5%,4.1%,-0.5%,0.4%,0.5%,-0.1%,1.8%,2.1%,-0.4%,5.8%,5.3%,0.4%
1147,1192517376,M. Miesse,Maddox Miesse,Miesse,Maddox,C,Abilene Christian University,AC,730375936,Abilene Christian,BBC,R,R,45,189,9.5%,11.3%,-1.8%,3.7%,4.0%,-0.3%,0.0%,0.4%,-0.4%,1.1%,2.1%,-1.1%,4.8%,4.5%,0.3%
1148,1097455104,G. Anderson,Garner Anderson,Anderson,Garner,LF,University of Tennessee at Martin,UTM,730238976,UT Martin,BBC,R,R,41,183,12.0%,12.3%,-0.2%,5.5%,2.5%,3.0%,1.1%,0.4%,0.7%,1.6%,2.1%,-0.5%,8.2%,4.3%,3.9%
1149,1342167003,K. Panganiban,Kyle Panganiban,Panganiban,Kyle,3B,Cal State-Northridge,CSN,730380032,CSU Northridge,BBC,R,R,49,230,18.3%,16.5%,1.7%,6.5%,5.9%,0.6%,0.4%,0.4%,<0.1%,2.2%,2.1%,<0.1%,9.1%,7.4%,1.7%
1150,1116254208,C. Rogan,Charlie Rogan,Rogan,Charlie,1B,George Washington University,GW,730249216,George Washington,BBC,L,R,54,237,15.2%,17.1%,-1.9%,6.8%,4.3%,2.5%,0.4%,0.5%,-0.1%,2.1%,2.1%,-0.0%,9.3%,5.7%,3.6%
1151,1212105473,C. Sefcik,Cal Sefcik,Sefcik,Cal,LF,University of Cincinnati,CIN,5465,Cincinnati,BBC,R,R,56,247,17.4%,15.3%,2.1%,3.6%,4.8%,-1.2%,0.8%,0.5%,0.3%,2.8%,2.1%,0.7%,7.3%,6.4%,0.9%
1152,1263556864,N. Husovsky,Nick Husovsky,Husovsky,Nick,2B,Ball State University,BALL,730195456,Ball State,BBC,R,R,58,261,18.8%,15.9%,2.9%,6.5%,5.7%,0.8%,0.8%,0.4%,0.4%,3.8%,2.1%,1.7%,11.1%,7.3%,3.8%
1153,1162602752,A. Ainsworth,Addison Ainsworth,Ainsworth,Addison,CF,Army West Point,ARMY,4744,Army,BBC,L,R,49,233,15.0%,17.6%,-2.6%,6.0%,4.4%,1.6%,0.4%,0.4%,0.1%,2.1%,2.1%,<0.1%,8.6%,5.6%,3.0%
1154,1172325120,B. Richartz,Brigs Richartz,Richartz,Brigs,LF,University of St. Thomas (Minn.),UOST,730200320,University of St. Thomas (Minn.),BBC,L,R,49,205,17.1%,19.9%,-2.8%,4.9%,5.4%,-0.5%,1.0%,0.5%,0.4%,2.0%,2.1%,-0.2%,7.8%,7.3%,0.5%
1155,1221857536,K. Hess,Kyle Hess,Hess,Kyle,2B,Creighton University,CREI,730243840,Creighton,BBC,L,R,52,215,10.7%,11.2%,-0.5%,5.1%,4.8%,0.3%,0.9%,0.7%,0.3%,1.4%,2.1%,-0.7%,7.4%,5.1%,2.4%
1156,1342167540,B. Bakes,Brayden Bakes,Bakes,Brayden,P,Illinois State University,ILST,730258944,Illinois State,BBC,L,R,46,194,16.5%,16.3%,0.2%,5.2%,4.5%,0.6%,1.0%,0.4%,0.6%,4.1%,2.1%,2.0%,10.3%,6.1%,4.3%
1157,1290121472,E. Hacopian,Eddie Hacopian,Hacopian,Eddie,3B,University of Maryland-College Park,MD,730172928,Maryland,BBC,R,R,56,285,15.4%,18.8%,-3.3%,3.9%,5.7%,-1.8%,0.7%,0.8%,-0.1%,3.5%,2.1%,1.4%,8.1%,7.2%,0.8%
1158,1094668288,B. Hurdsman,Bryker Hurdsman,Hurdsman,Bryker,RF,Brigham Young University,BYU,730257152,BYU,BBC,R,R,51,226,17.7%,16.2%,1.5%,8.0%,5.0%,2.9%,1.3%,0.4%,0.9%,1.8%,2.1%,-0.4%,11.1%,6.4%,4.7%
1159,1112215423,J. Radosevich,Jake Radosevich,Radosevich,Jake,C,Lindenwood University,LU,730322176,Lindenwood,BBC,R,R,54,238,16.4%,18.3%,-1.9%,5.9%,2.4%,3.5%,0.0%,0.4%,-0.4%,4.2%,2.1%,2.1%,10.1%,4.4%,5.7%
1160,1297345024,C. Applegate,Carson Applegate,Applegate,Carson,SS,Saint Joseph's University,JOES,730332416,Saint Joseph's,BBC,R,R,49,226,10.2%,8.6%,1.6%,4.4%,4.9%,-0.4%,0.0%,0.3%,-0.3%,2.2%,2.1%,0.1%,6.6%,5.7%,1.0%
1161,1876001487,M. Gaines,Mason Gaines,Gaines,Mason,LF,University of Nebraska-Omaha,NEOM,730235648,Omaha,BBC,L,L,42,171,11.7%,11.8%,-0.1%,5.8%,4.2%,1.6%,0.6%,0.5%,0.1%,1.2%,2.1%,-0.9%,7.6%,5.7%,1.9%
1162,1255332352,C. Peery,Cannon Peery,Peery,Cannon,LF,Grand Canyon University,GC,5310,Grand Canyon,BBC,R,R,51,191,17.3%,16.6%,0.7%,8.4%,7.2%,1.2%,0.5%,0.6%,-0.0%,1.6%,2.1%,-0.5%,10.5%,8.6%,1.8%
1163,1237027328,T. Martinez,Tony Martinez,Martinez,Tony,1B,UC Irvine,UCI,3031,UC Irvine,BBC,L,R,52,248,19.8%,16.4%,3.4%,5.6%,4.0%,1.6%,0.0%,0.6%,-0.6%,2.0%,2.1%,-0.1%,7.7%,5.8%,1.8%
1164,1563240163,G. Kelly,Gavin Kelly,Kelly,Gavin,C,West Virginia University,WVU,5327,West Virginia,BBC,R,R,51,206,19.4%,17.3%,2.1%,2.9%,6.3%,-3.4%,1.0%,0.6%,0.3%,1.0%,2.1%,-1.1%,4.9%,7.3%,-2.5%
