Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,PA,P,Swing%,Miss%,Contact%,Strike%,InPlay%,Foul%,InZone%,Chase%,CallStrk%,SwStrk%,P/PA,MxPPA,CompLoc%,NonCompLoc%
1677,1085299200,T. Thomas,Tanner Thomas,Thomas,Tanner,1B,Gardner Webb University,WEBB,730222592,Gardner Webb,BBC,R,R,51,226,810,44.6%,24.4%,75.6%,61.6%,40.4%,35.2%,48.6%,21.5%,30.5%,10.9%,3.58,11,76.5%,23.5%
1678,1311218432,B. Jones,Brendan Jones,Jones,Brendan,2B,College of the Holy Cross,HC,730310656,Holy Cross,BBC,L,R,49,200,884,30.4%,14.5%,85.5%,55.9%,46.8%,38.7%,48.6%,14.3%,36.6%,4.4%,4.42,9,74.1%,25.9%
1679,1129848320,B. Ronken,Bryce Ronken,Ronken,Bryce,RF,South Dakota State University,SDST,730323200,South Dakota State,BBC,L,R,43,194,743,35.9%,24.7%,75.3%,56.8%,43.1%,32.2%,48.6%,15.6%,31.2%,8.9%,3.83,9,73.8%,26.2%
1680,1755480502,C. Wulf,Caleb Wulf,Wulf,Caleb,1B,University of Iowa,IOWA,1232,Iowa,BBC,L,R,49,161,576,45.0%,11.2%,88.8%,62.3%,51.7%,37.1%,48.6%,26.1%,31.5%,5.0%,3.58,8,81.9%,18.1%
1681,1310313472,J. carpenter,Jesiah Carpenter,carpenter,Jesiah,CF,UMBC,UMBC,730210304,UMBC,BBC,R,R,46,209,731,42.3%,25.6%,74.4%,59.9%,44.0%,30.4%,48.6%,23.4%,29.9%,10.8%,3.50,8,78.5%,21.5%
1682,1014899125,S. Ordonez,Santiago Ordonez,Ordonez,Santiago,C,University of North Florida,UNF,730296832,North Florida,BBC,R,R,44,152,533,44.7%,28.2%,71.8%,60.8%,40.3%,31.5%,48.6%,25.3%,28.1%,12.6%,3.51,10,74.1%,25.9%
1683,1266589440,E. Brenner,Easton Brenner,Brenner,Easton,CF,Lafayette College,LAF,730217728,Lafayette,BBC,R,R,49,212,807,34.3%,11.6%,88.4%,56.1%,49.5%,39.0%,48.6%,14.9%,33.2%,4.0%,3.81,12,78.6%,21.4%
1684,1191676160,M. Galvan,Marcus Galvan,Galvan,Marcus,C,Grand Canyon University,GC,5310,Grand Canyon,BBC,L,R,46,158,637,36.4%,13.4%,86.6%,57.3%,48.3%,38.4%,48.6%,16.1%,32.8%,4.9%,4.03,8,80.7%,19.3%
1685,1835942647,J. Herring,Jack Herring,Herring,Jack,RF,East Carolina University,ECU,730270720,East Carolina,BBC,S,L,50,163,664,42.5%,15.2%,84.8%,61.0%,43.3%,41.5%,48.6%,18.3%,32.2%,6.5%,4.07,9,80.4%,19.6%
1686,1237057024,L. Brooks,Lauden Brooks,Brooks,Lauden,2B,University of Cincinnati,CIN,5465,Cincinnati,BBC,R,R,47,184,702,38.9%,23.1%,76.9%,62.1%,42.9%,34.1%,48.6%,19.9%,37.9%,9.0%,3.82,9,80.3%,19.7%
1687,1914244644,I. Castro,Isaac Castro,Castro,Isaac,RF,Alabama A&M University,AAMU,730365440,Alabama A&M,BBC,R,R,42,152,408,42.9%,19.4%,80.6%,63.2%,60.6%,20.0%,48.6%,24.2%,32.7%,8.3%,2.68,7,75.5%,24.5%
1688,1347636361,M. Toomey,Matt Toomey,Toomey,Matt,LF,Long Beach State University,LBSU,730224128,Long Beach State,BBC,L,R,43,151,579,51.6%,31.8%,68.2%,68.0%,29.8%,38.5%,48.6%,35.0%,33.7%,16.4%,3.83,11,81.8%,18.2%
1689,1096460032,J. Peltier,JP Peltier,Peltier,JP,LF,Wright State University,WRST,5390,Wright State,BBC,R,R,60,277,1076,45.2%,27.0%,73.0%,62.0%,36.0%,37.0%,48.7%,23.6%,30.7%,12.2%,3.88,9,75.5%,24.5%
1690,1163965026,D. Reynolds,Drew Reynolds,Reynolds,Drew,1B,University of Maine,ME,730275840,Maine,BBC,L,R,46,206,776,49.4%,29.0%,71.0%,61.7%,33.2%,37.9%,48.7%,26.4%,24.4%,14.3%,3.77,11,77.1%,22.9%
1691,1093947904,B. Schaaf,Blake Schaaf,Schaaf,Blake,SS,Georgetown University,GTWN,2330,Georgetown,BBC,L,R,55,233,804,36.8%,15.2%,84.8%,57.9%,52.0%,32.8%,48.7%,18.7%,32.6%,5.6%,3.45,9,79.7%,20.3%
1692,1395883646,D. Smith,Dante Smith,Smith,Dante,RF,North Dakota State University,NDSU,730343168,North Dakota State,BBC,L,R,44,199,734,43.9%,26.7%,73.3%,62.8%,40.1%,33.2%,48.7%,24.3%,33.7%,11.7%,3.69,9,80.3%,19.7%
1693,1306772224,E. Hartmann,Erich Hartmann,Hartmann,Erich,RF,Rider University,RID,730174976,Rider,BBC,L,L,49,222,705,47.1%,14.2%,85.8%,64.7%,52.7%,33.1%,48.7%,28.1%,32.5%,6.7%,3.18,9,77.7%,22.3%
1694,1302561280,M. Giberti,Matt Giberti,Giberti,Matt,CF,Harvard University,HARV,5450,Harvard,BBC,L,R,42,180,654,43.6%,18.9%,81.1%,63.5%,43.9%,37.2%,48.7%,24.8%,34.9%,8.3%,3.63,9,78.4%,21.6%
1695,1152865536,X. Esquer,Xavier Esquer,Esquer,Xavier,3B,UC Santa Barbara,UCSB,730364160,UC Santa Barbara,BBC,R,R,54,263,937,46.5%,20.2%,79.8%,61.8%,41.3%,38.5%,48.7%,23.1%,28.4%,9.4%,3.56,9,77.3%,22.7%
1696,1255332352,C. Peery,Cannon Peery,Peery,Cannon,LF,Grand Canyon University,GC,5310,Grand Canyon,BBC,R,R,51,191,736,39.5%,25.1%,74.9%,63.2%,42.6%,32.3%,48.7%,22.1%,39.1%,9.9%,3.85,8,79.6%,20.4%
1697,1093153024,J. Bello,Jack Bello,Bello,Jack,TWP,Butler University,BUT,730283520,Butler,BBC,R,L,50,213,713,56.0%,28.3%,71.7%,66.3%,38.1%,33.6%,48.7%,33.6%,21.9%,15.8%,3.35,9,75.4%,24.6%
1698,1162560000,G. Lewis Jr.,Gavin Lewis Jr.,Lewis Jr.,Gavin,SS,UAB,UAB,730345984,UAB,BBC,R,R,52,223,833,41.9%,18.6%,81.4%,60.3%,49.0%,32.4%,48.7%,19.4%,31.7%,7.8%,3.74,10,79.5%,20.5%
1699,1341664768,C. Becker,Colten Becker,Becker,Colten,LF,North Dakota State University,NDSU,730343168,North Dakota State,BBC,L,L,53,236,962,45.7%,30.0%,70.0%,60.9%,30.5%,39.5%,48.7%,22.1%,27.8%,13.7%,4.08,8,75.3%,24.7%
1700,1279488512,K. Wagner,Kai Wagner,Wagner,Kai,3B,University of Northern Colorado,UNCO,730286592,Northern Colorado,BBC,L,R,51,250,980,37.3%,13.4%,86.6%,57.7%,49.2%,37.4%,48.7%,17.2%,32.4%,5.0%,3.92,10,75.3%,24.7%
1701,1430338383,J. Martinez,Jake Martinez,Martinez,Jake,CF,University of Texas-Arlington,UTA,5324,UT Arlington,BBC,R,R,44,193,665,42.9%,18.6%,81.4%,63.9%,52.3%,29.1%,48.7%,24.9%,36.6%,8.0%,3.45,7,78.2%,21.8%
1702,1207751680,A. Champagne,Alex Champagne,Champagne,Alex,CF,Long Beach State University,LBSU,730224128,Long Beach State,BBC,L,R,53,247,921,34.3%,13.6%,86.4%,56.3%,52.5%,33.9%,48.7%,13.8%,33.3%,4.7%,3.73,9,78.5%,21.5%
1703,1760558112,L. Lively,Lenox Lively,Lively,Lenox,C,Queens University of Charlotte,QUC,754315264,Queens University of Charlotte,BBC,L,R,51,189,704,38.8%,18.7%,81.3%,60.1%,47.3%,34.1%,48.7%,20.4%,34.3%,7.2%,3.72,8,79.6%,20.4%
1704,1088072448,J. Hogart,Jonathan Hogart,Hogart,Jonathan,CF,Murray State University,MURR,730188032,Murray State,BBC,R,R,61,312,1228,39.8%,21.9%,78.1%,58.9%,42.5%,35.6%,48.8%,17.7%,31.6%,8.7%,3.94,8,75.2%,24.8%
1705,1317378560,J. Green,Jason Green,Green,Jason,C,Niagara University,NIAG,730156544,Niagara,BBC,L,R,44,189,688,45.1%,31.0%,69.0%,60.6%,34.8%,34.2%,48.8%,22.7%,26.7%,14.0%,3.64,8,77.5%,22.5%
1706,1635128394,D. Rogers,Daniel Rogers,Rogers,Daniel,C,University of Iowa,IOWA,1232,Iowa,BBC,L,R,54,218,897,35.8%,19.3%,80.7%,58.2%,42.1%,38.6%,48.8%,13.8%,34.9%,6.9%,4.11,9,81.1%,18.9%
1707,1250738591,T. Mainolfi,Ty Mainolfi,Mainolfi,Ty,2B,University of Dayton,DAY,730194688,Dayton,BBC,L,L,55,221,799,33.8%,10.7%,89.3%,57.3%,58.1%,31.1%,48.8%,14.7%,34.6%,3.6%,3.62,9,78.4%,21.6%
1708,1060162120,D. Francis Jr.,Dale Francis Jr.,Francis Jr.,Dale,1B,Gardner Webb University,WEBB,730222592,Gardner Webb,BBC,R,R,53,229,815,51.0%,32.2%,67.8%,63.0%,34.6%,33.2%,48.8%,28.3%,24.4%,16.4%,3.56,9,75.6%,24.4%
1709,1211102208,E. Paton,Eli Paton,Paton,Eli,3B,Grand Canyon University,GC,5310,Grand Canyon,BBC,L,R,57,254,847,51.9%,22.0%,78.0%,65.5%,41.6%,36.4%,48.8%,33.7%,28.3%,11.5%,3.33,11,79.8%,20.2%
1710,1339593216,C. Jacobs,Clay Jacobs,Jacobs,Clay,RF,Ball State University,BALL,730195456,Ball State,BBC,L,R,56,183,666,40.1%,30.0%,70.0%,59.8%,41.2%,28.8%,48.8%,18.8%,32.7%,12.0%,3.64,10,79.5%,20.5%
1711,1085407744,J. Goodman,Jack Goodman,Goodman,Jack,SS,Northeastern University,NE,343,Northeastern,BBC,R,R,53,234,874,42.2%,24.9%,75.1%,60.9%,42.8%,32.2%,48.8%,21.3%,32.3%,10.5%,3.74,7,76.0%,24.0%
1712,1141432832,M. Brown,Michael Brown,Brown,Michael,SS,Hofstra University,HOF,730245120,Hofstra,BBC,S,R,53,220,842,39.2%,16.7%,83.3%,59.4%,48.2%,35.2%,48.8%,16.6%,33.2%,6.5%,3.83,8,80.5%,19.5%
1713,1279706880,T. Shaneyfelt,Tyler Shaneyfelt,Shaneyfelt,Tyler,CF,Northern Kentucky University,NKU,730230272,Northern Kentucky,BBC,L,R,55,279,1158,34.5%,14.0%,86.0%,57.4%,47.6%,38.3%,48.8%,16.5%,34.8%,4.8%,4.15,10,79.1%,20.9%
1714,1239187968,J. Hower,Jackson Hower,Hower,Jackson,RF,Dartmouth College,DART,730216192,Dartmouth,BBC,R,R,32,133,465,51.8%,27.0%,73.0%,66.5%,39.4%,33.6%,48.8%,34.0%,30.4%,14.0%,3.50,11,76.9%,23.1%
1714,1930587984,C. Cunningham,Conner Cunningham,Cunningham,Conner,SS,Murray State University,MURR,730188032,Murray State,BBC,L,R,60,245,1039,36.0%,27.3%,72.7%,58.6%,36.1%,36.6%,48.8%,20.3%,35.2%,9.8%,4.24,9,78.8%,21.2%
1716,1309473536,A. Luccini,Alex Luccini,Luccini,Alex,CF,UMass Lowell,MASSL,730371584,UMass Lowell,BBC,L,R,53,238,873,47.2%,25.2%,74.8%,61.3%,34.5%,40.3%,48.8%,23.5%,26.6%,11.9%,3.67,11,75.7%,24.3%
1717,1181521152,T. Holder,Taylor Holder,Holder,Taylor,LF,University of Nevada,NEV,4784,Nevada,BBC,R,R,53,234,829,45.7%,33.8%,66.2%,61.8%,35.9%,30.3%,48.8%,22.3%,29.6%,15.4%,3.54,8,77.6%,22.4%
1718,1410657329,K. Thompson,Kyeler Thompson,Thompson,Kyeler,CF,Texas Tech University,TTU,2350,Texas Tech,BBC,R,R,49,229,918,40.2%,14.4%,85.6%,60.5%,44.7%,40.9%,48.8%,18.4%,33.9%,5.8%,4.01,10,79.7%,20.3%
1719,1266157312,L. Tobin,Lane Tobin,Tobin,Lane,SS,The Citadel,CIT,730366720,The Citadel,BBC,R,R,44,167,627,41.1%,22.5%,77.5%,65.1%,43.4%,34.1%,48.9%,24.4%,40.7%,9.3%,3.75,10,79.5%,20.5%
1720,1870143898,J. Sanchez,Jacob Sanchez,Sanchez,Jacob,1B,University of Texas Rio Grande Valley,UTRGV,730192128,UT Rio Grande Valley,BBC,R,R,52,241,916,43.4%,23.6%,76.4%,59.2%,42.2%,34.2%,48.9%,20.9%,27.8%,10.3%,3.80,9,74.1%,25.9%
1721,1201654784,H. Padden,Harry Padden,Padden,Harry,CF,Monmouth University,MONM,4164,Monmouth,BBC,R,R,51,237,785,47.0%,13.0%,87.0%,62.8%,50.9%,36.0%,48.9%,25.0%,29.3%,6.1%,3.31,11,79.7%,20.3%
1722,1085403136,R. Kennell,Ryan Kennell,Kennell,Ryan,SS,Gardner Webb University,WEBB,730222592,Gardner Webb,BBC,R,R,52,241,940,37.7%,11.0%,89.0%,62.2%,52.0%,37.0%,48.9%,19.1%,39.4%,4.1%,3.90,8,80.1%,19.9%
1723,1306773504,J. Mantuano,Jimmy Mantuano,Mantuano,Jimmy,RF,Fairleigh Dickinson University,FDU,730355200,Fairleigh Dickinson,BBC,L,L,47,213,687,41.5%,23.2%,76.8%,56.0%,47.0%,29.8%,48.9%,20.2%,23.6%,9.6%,3.23,10,76.7%,23.3%
1724,1078579712,J. Bant,Jay Bant,Bant,Jay,1B,Monmouth University,MONM,4164,Monmouth,BBC,L,R,50,221,715,50.8%,21.5%,78.5%,63.3%,47.7%,30.9%,48.9%,27.3%,25.1%,10.9%,3.24,9,78.5%,21.5%
1725,1322859776,K. Jordan,Kazuya Jordan,Jordan,Kazuya,2B,Virginia Military Institute,VMI,730173440,VMI,BBC,R,R,53,224,808,39.1%,17.7%,82.3%,61.0%,45.9%,36.4%,48.9%,21.5%,35.8%,6.9%,3.61,9,76.7%,23.3%
1726,1198452224,N. Pratt,Nicholas Pratt,Pratt,Nicholas,C,UMBC,UMBC,730210304,UMBC,BBC,R,R,35,106,370,42.2%,28.8%,71.2%,59.7%,44.2%,26.9%,48.9%,20.5%,28.9%,12.2%,3.49,7,73.7%,26.3%
1727,1099183873,G. Colasante,Gio Colasante,Colasante,Gio,TWP,Harvard University,HARV,5450,Harvard,BBC,R,R,42,176,673,44.3%,31.2%,68.8%,63.7%,35.2%,33.6%,48.9%,25.7%,34.9%,13.8%,3.82,10,74.5%,25.5%
1728,1022088470,R. Rivera,Ryan Rivera,Rivera,Ryan,3B,Long Island University-Brooklyn,LIU,730352896,LIU Brooklyn,BBC,R,R,58,260,754,47.5%,10.1%,89.9%,62.1%,59.2%,30.7%,48.9%,24.5%,27.1%,4.8%,2.90,8,77.1%,22.9%
1729,1196810752,L. Johnstone,Logan Johnstone,Johnstone,Logan,RF,Washington State University,WSU,4505,Washington State,BBC,L,R,54,238,914,35.6%,11.1%,88.9%,57.2%,52.3%,36.6%,48.9%,13.6%,33.6%,3.9%,3.84,9,76.8%,23.2%
1730,1471059156,L. Williams,Landon Williams,Williams,Landon,3B,Prairie View A&M University,PV,4766,Prairie View A&M,BBC,R,R,51,216,684,38.9%,22.2%,77.8%,58.2%,53.4%,24.4%,48.9%,18.0%,28.0%,8.6%,3.17,9,75.3%,24.7%
1731,1327586560,D. Holmes,Derek Holmes,Holmes,Derek,2B,College of William & Mary,WM,730232064,William & Mary,BBC,R,R,54,235,830,43.9%,14.8%,85.2%,63.0%,52.7%,32.4%,48.9%,21.5%,34.1%,6.5%,3.53,8,76.3%,23.7%
1732,1156682240,J. McCladdie,Jordan McCladdie,McCladdie,Jordan,CF,Jackson State University,JKST,730378240,Jackson State,BBC,L,L,51,243,807,38.7%,12.5%,87.5%,54.0%,52.9%,34.6%,49.0%,16.0%,24.7%,4.8%,3.32,9,75.1%,24.9%
1733,1064606452,T. Anderson,TJ Anderson,Anderson,TJ,LF,The Citadel,CIT,730366720,The Citadel,BBC,L,R,56,230,838,38.5%,12.4%,87.6%,61.1%,51.4%,36.2%,49.0%,17.5%,36.7%,4.8%,3.64,10,81.4%,18.6%
1734,1310419200,E. Bouldin,Evan Bouldin,Bouldin,Evan,3B,University of Delaware,DEL,730203136,Delaware,BBC,R,R,53,245,803,47.7%,16.2%,83.8%,62.0%,50.7%,33.2%,49.0%,25.4%,27.4%,7.7%,3.28,8,78.9%,21.1%
1735,1126847744,K. Irvin,Karson Irvin,Irvin,Karson,CF,Nicholls State University,NICH,730284032,Nicholls State,BBC,L,R,49,219,823,43.5%,26.8%,73.2%,62.0%,39.1%,34.1%,49.0%,21.2%,32.7%,11.7%,3.76,9,82.2%,17.8%
1736,1306903552,S. Pugh,Samson Pugh,Pugh,Samson,CF,Texas State University,TXST,5420,Texas State,BBC,R,R,57,219,799,48.7%,26.2%,73.8%,65.2%,38.8%,35.0%,49.0%,29.7%,32.2%,12.8%,3.65,9,80.5%,19.5%
1737,1278317312,R. Betancourt,Rafael Betancourt,Betancourt,Rafael,P,University of South Florida,USF,2292,South Florida,BBC,S,R,49,194,695,54.2%,17.2%,82.8%,66.5%,41.9%,40.8%,49.0%,34.1%,26.7%,9.4%,3.58,10,79.7%,20.3%
1738,1912513890,D. Wouters,Dyrenson Wouters,Wouters,Dyrenson,SS,University of Dayton,DAY,730194688,Dayton,BBC,R,R,46,188,664,43.7%,10.3%,89.7%,63.7%,51.0%,38.6%,49.0%,29.5%,33.5%,4.5%,3.53,12,74.3%,25.7%
1739,1274260224,C. Jung,Clay Jung,Jung,Clay,RF,Northwestern State University,NWST,730255872,Northwestern State,BBC,L,R,51,188,724,34.1%,28.3%,71.7%,55.4%,42.5%,29.1%,49.0%,14.5%,30.5%,9.7%,3.85,11,74.9%,25.1%
1740,1130289920,E. Royal,Ethan Royal,Royal,Ethan,CF,Utah Tech University,UTU,730318592,Utah Tech,BBC,R,R,48,152,617,36.0%,19.4%,80.6%,60.6%,46.8%,33.8%,49.0%,20.7%,38.5%,7.0%,4.06,8,79.8%,20.2%
1741,1494680835,B. Smith,Brayden Smith,Smith,Brayden,CF,Oklahoma State University,OKST,4245,Oklahoma State,BBC,L,R,54,253,1031,44.0%,21.6%,78.4%,62.4%,38.1%,40.3%,49.0%,24.6%,32.8%,9.5%,4.08,12,82.3%,17.7%
1742,1279296512,C. Maldonado,Cam Maldonado,Maldonado,Cam,CF,Northeastern University,NE,343,Northeastern,BBC,R,R,60,272,1085,40.5%,23.9%,76.1%,57.1%,39.2%,36.9%,49.0%,14.8%,28.0%,9.7%,3.99,10,74.1%,25.9%
1743,1190789888,J. Pipercic,Jacob Pipercic,Pipercic,Jacob,RF,Long Island University-Brooklyn,LIU,730352896,LIU Brooklyn,BBC,R,R,49,233,766,43.9%,24.4%,75.6%,59.2%,43.5%,32.1%,49.0%,20.7%,26.2%,10.7%,3.29,9,76.0%,24.0%
1744,1263412992,J. Hankins,Josh Hankins,Hankins,Josh,3B,Gonzaga University,GONZ,730200832,Gonzaga,BBC,R,R,52,239,891,39.6%,15.0%,85.0%,60.5%,52.7%,32.3%,49.0%,18.4%,34.6%,5.9%,3.73,8,77.8%,22.2%
1745,1327585024,C. Walsh,Chris Walsh,Walsh,Chris,1B,Monmouth University,MONM,4164,Monmouth,BBC,R,R,46,203,747,41.0%,19.0%,81.0%,61.1%,45.8%,35.3%,49.0%,18.9%,33.3%,7.8%,3.68,11,77.4%,22.6%
1746,1075959040,A. Smith,Austin Smith,Smith,Austin,TWP,University of San Diego,USD,5320,San Diego,BBC,L,L,54,249,797,46.7%,12.6%,87.4%,64.1%,55.4%,32.0%,49.0%,24.6%,32.7%,5.9%,3.20,8,79.9%,20.1%
1747,1131971840,R. LeClair,Ryan LeClair,LeClair,Ryan,2B,Stonehill College,SC,730238464,Stonehill,BBC,R,R,52,213,699,40.8%,16.5%,83.5%,58.5%,48.1%,35.4%,49.0%,18.5%,29.1%,6.7%,3.28,10,75.1%,24.9%
1748,1161481670,T. Kirk,Taylor Kirk,Kirk,Taylor,2B,Fordham University,FOR,730324992,Fordham,BBC,R,R,57,270,961,38.0%,16.4%,83.6%,61.3%,54.8%,28.8%,49.0%,21.7%,37.5%,6.2%,3.56,10,78.9%,21.1%
1749,1231043840,T. Yaghoubi,Tank Yaghoubi,Yaghoubi,Tank,CF,Elon University,ELON,730252544,Elon,BBC,L,L,56,233,900,41.9%,9.8%,90.2%,60.4%,46.7%,43.5%,49.0%,20.7%,31.9%,4.1%,3.86,10,79.3%,20.7%
1750,1311156224,I. Barkett,Isaiah Barkett,Barkett,Isaiah,3B,Stetson University,STET,730261504,Stetson,BBC,R,R,54,256,978,38.5%,5.8%,94.2%,60.8%,57.3%,36.9%,49.1%,22.8%,36.1%,2.2%,3.82,11,79.4%,20.6%
1750,1129552649,T. Bridges,Trey Bridges,Bridges,Trey,LF,Grambling State University,GRAM,5378,Grambling State,BBC,L,L,52,255,721,39.7%,21.3%,78.7%,56.4%,56.6%,22.0%,49.1%,14.9%,24.6%,8.5%,2.83,8,72.7%,27.3%
1752,1299566848,K. Amaro,Kristian Amaro,Amaro,Kristian,C,North Carolina A&T State University,NCAT,730372352,North Carolina A&T,BBC,S,R,42,162,611,44.2%,29.3%,70.7%,62.8%,36.3%,34.4%,49.1%,23.3%,33.4%,12.9%,3.77,9,80.0%,20.0%
1753,1113390592,E. Wood,Enrique Wood,Wood,Enrique,3B,North Carolina A&T State University,NCAT,730372352,North Carolina A&T,BBC,R,R,49,200,710,48.5%,33.1%,66.9%,63.8%,37.2%,29.7%,49.1%,28.9%,29.8%,16.1%,3.55,9,76.1%,23.9%
1754,1310334209,J. Salk,Jonas Salk,Salk,Jonas,SS,University of Portland,PORT,730360320,Portland,BBC,R,R,46,207,800,46.8%,33.2%,66.8%,61.5%,32.1%,34.8%,49.1%,21.7%,27.7%,15.5%,3.86,9,76.3%,23.7%
1754,1230255706,H. Carr,Harry Carr,Carr,Harry,SS,Butler University,BUT,730283520,Butler,BBC,L,R,48,178,699,47.2%,29.4%,70.6%,63.0%,32.7%,37.9%,49.1%,23.8%,29.3%,13.9%,3.93,12,78.4%,21.6%
1756,1164563456,V. Mazzara,Victor Mazzara,Mazzara,Victor,3B,University at Albany,ALBY,730280448,Albany,BBC,R,R,42,163,641,32.8%,20.0%,80.0%,59.0%,43.3%,36.7%,49.1%,16.2%,38.5%,6.6%,3.93,10,76.6%,23.4%
1757,1333117952,G. Cutting,Garrett Cutting,Cutting,Garrett,SS,Youngstown State University,YSU,730284544,Youngstown State,BBC,R,R,57,247,917,47.5%,29.1%,70.9%,62.4%,35.8%,35.1%,49.1%,25.3%,27.8%,13.8%,3.71,9,76.3%,23.7%
1757,1267007232,C. Charpiot,Connor Charpiot,Charpiot,Connor,1B,Long Beach State University,LBSU,730224128,Long Beach State,BBC,R,R,51,220,843,39.1%,15.5%,84.5%,58.1%,50.6%,33.9%,49.1%,14.7%,31.2%,6.0%,3.83,12,76.0%,24.0%
1759,1325732096,M. Wolf,Mason Wolf,Wolf,Mason,C,New Jersey Institute of Technology,NJIT,730313216,NJIT,BBC,R,R,44,183,686,39.8%,17.2%,82.8%,57.0%,49.5%,33.3%,49.1%,15.9%,28.6%,6.9%,3.75,10,74.8%,25.2%
1760,1068475451,T. Davis,Ty Davis,Davis,Ty,1B,Ball State University,BALL,730195456,Ball State,BBC,L,R,45,159,643,47.1%,25.1%,74.9%,61.7%,31.7%,43.2%,49.1%,26.1%,27.3%,11.8%,4.04,10,77.6%,22.4%
1761,1322527232,A. Taylor,AJ Taylor,Taylor,A.J.,SS,University of Illinois-Chicago,UIC,5379,Illinois-Chicago,BBC,R,R,42,189,621,43.6%,9.6%,90.4%,62.9%,56.8%,33.6%,49.1%,23.7%,34.1%,4.2%,3.29,9,79.2%,20.8%
1761,1850271363,L. Cockrill,LT Cockrill,Cockrill,LT,C,University of Delaware,DEL,730203136,Delaware,BBC,R,R,42,183,719,39.5%,20.4%,79.6%,62.0%,41.5%,38.0%,49.1%,23.5%,37.2%,8.1%,3.93,10,77.3%,22.7%
1763,1081438208,G. Ganun,Gavin Ganun,Ganun,Gavin,LF,Bowling Green State University,BGSU,730189056,Bowling Green,BBC,R,R,49,212,893,40.2%,46.0%,54.0%,58.5%,27.0%,27.0%,49.1%,18.5%,30.6%,18.5%,4.21,8,75.8%,24.2%
1764,1342170960,C. Diaz,Chris Diaz,Diaz,Chris,RF,Marist College,MRST,730374656,Marist,BBC,L,L,50,198,772,41.5%,25.3%,74.7%,58.9%,35.6%,39.1%,49.1%,16.8%,29.4%,10.5%,3.90,9,72.6%,27.4%
1765,1310427136,C. Martinez,Carlos Martinez,Martinez,Carlos,RF,UMass Lowell,MASSL,730371584,UMass Lowell,BBC,L,L,51,220,781,49.6%,21.4%,78.6%,63.4%,43.4%,35.1%,49.1%,24.9%,27.4%,10.6%,3.55,8,78.5%,21.5%
1766,1260855040,L. Masiuk,Luke Masiuk,Masiuk,Luke,RF,Hofstra University,HOF,730245120,Hofstra,BBC,R,R,53,230,871,47.6%,29.2%,70.8%,63.1%,34.5%,36.4%,49.1%,26.5%,29.5%,13.9%,3.79,9,80.8%,19.2%
1767,1196782080,C. Mercado,Cohl Mercado,Mercado,Cohl,RF,Penn State University,PSU,5326,Penn State,BBC,L,L,45,164,643,41.2%,12.1%,87.9%,60.9%,44.2%,43.8%,49.1%,20.9%,33.4%,5.0%,3.92,9,79.8%,20.2%
1768,1196832256,S. McGee,Sean McGee,McGee,Sean,SS,Stonehill College,SC,730238464,Stonehill,BBC,R,R,44,217,752,42.7%,31.5%,68.5%,62.0%,38.6%,29.9%,49.1%,24.7%,31.8%,13.4%,3.47,8,79.3%,20.7%
1769,1195522560,H. Warren,Hank Warren,Warren,Hank,RF,University of Texas Rio Grande Valley,UTRGV,730192128,UT Rio Grande Valley,BBC,R,R,54,228,807,41.9%,18.3%,81.7%,59.5%,50.9%,30.8%,49.2%,21.4%,30.3%,7.7%,3.54,9,72.1%,27.9%
1770,1330601216,M. Little,Morgan Little,Little,Morgan,1B,St. Bonaventure University,SBON,730375424,St. Bonaventure,BBC,L,R,40,147,561,39.6%,23.4%,76.6%,61.0%,43.2%,33.3%,49.2%,15.0%,33.9%,9.3%,3.82,9,78.2%,21.8%
1771,1152952832,D. Zirwas,Devan Zirwas,Zirwas,Devan,1B,Eastern Michigan University,EMU,5385,Eastern Michigan,BBC,L,L,51,243,970,36.6%,18.3%,81.7%,60.9%,47.9%,33.8%,49.2%,18.8%,37.8%,6.7%,3.99,8,78.9%,21.1%
1772,1427294375,J. Smith,Jonathan Smith,Smith,Jonathan,LF,San Diego State University,SDSU,730218496,San Diego State,BBC,S,R,54,225,853,42.7%,26.1%,73.9%,61.8%,42.3%,31.6%,49.2%,20.8%,32.3%,11.1%,3.79,8,80.2%,19.8%
1773,1238969088,C. Bloomer,Chase Bloomer,Bloomer,Chase,SS,Southern Illinois Univ.-Edwardsville,SIUE,730298112,SIU Edwardsville,BBC,R,R,53,249,843,50.5%,27.0%,73.0%,66.9%,42.7%,30.3%,49.2%,29.2%,32.9%,13.6%,3.39,9,77.0%,23.0%
1774,1204946944,W. Vierling,Will Vierling,Vierling,Will,C,Murray State University,MURR,730188032,Murray State,BBC,L,R,60,277,1038,43.2%,14.3%,85.7%,60.6%,46.9%,38.8%,49.2%,21.9%,30.7%,6.2%,3.75,11,78.2%,21.8%
1775,1100224000,C. Vance,Cooper Vance,Vance,Cooper,SS,Eastern Michigan University,EMU,5385,Eastern Michigan,BBC,R,R,52,219,785,39.9%,18.8%,81.2%,62.2%,49.2%,31.9%,49.2%,23.1%,36.4%,7.5%,3.58,9,79.5%,20.5%
